а	ɑ
звернути	zʋernute
звернутися	zʋernutesʲɐ
звертати	zʋertɑte
звертатися	zʋertɑtesʲɐ
звикати	zʋekɑte
звиклий	zʋɪkɫei̯
звикнути	zʋɪknʊte
звинуватити	zʋenʊʋɑtete
звинувачення	zʋenʊʋɑt͡ʃenʲːɐ
звинувачувати	zʋenʊʋɑt͡ʃʊʋɐte
звичай	zʋɪt͡ʃɐi̯
звичайний	zʋet͡ʃɑi̯nei̯
звичайно	zʋet͡ʃɑi̯nɔ
звичка	zʋɪt͡ʃkɐ
зволожити	zwɔɫɔʒete
зволожувати	zwɔɫɔʒʊʋɐte
зворотний	zwɔrɔtnei̯
зворушливий	zworuʃɫeʋei̯
звужувати	zwuʒʊʋɐte
звузити	zwuzete
звук	zwuk
звуковий	zwʊkɔʋɪi̯
звідки	zʲʋʲidke
звідкись	zʲʋʲidkesʲ
звідси	zʲʋʲid͡zse
звідти	zʲʋʲidte
звізда	zʲʋʲizdɑ
звір	zʲʋʲir
звіря	zʲʋʲirʲɑ
звісно	zʲʋʲisnɔ
звітувати	zʲʋʲitʊʋɑte
згадати	zɦɐdɑte
згадувати	zɦɑdʊʋɐte
згинути	zɦɪnʊte
згода	zɦɔdɐ
згоден	zɦɔden
згодний	zɦɔdnei̯
зграя	zɦrɑjɐ
згуртованість	zɦʊrtɔʋɐnʲisʲtʲ
згідність	zʲɦʲidʲnʲisʲtʲ
здаватися	zdɐʋɑtesʲɐ
здання	zdɐnʲːɑ
здання	zdɑnʲːɐ
здатен	zdɑten
здатний	zdɑtnei̯
здебільшого	zdebʲilʲʃɔɦɔ
здивування	zdewʊʋɑnʲːɐ
здивувати	zdewʊʋɑte
здогадатися	zdɔɦɐdɑtesʲɐ
здогадуватися	zdɔɦɑdʊʋɐtesʲɐ
здоров	zdɔrɔu̯
здоров'я	zdɔrɔʋjɐ
здоровий	zdɔrɔʋei̯
здріти	zdʲrʲite
здібний	zʲdʲibnei̯
здійснення	zʲdʲii̯snenʲːɐ
здійснити	zʲdʲii̯snɪte
здійснювати	zʲdʲii̯sʲnʲʊʋɐte
зекономити	zekɔnɔmete
зелен	zɛɫen
зелений	zeɫɛnei̯
зеленський	zeɫɛnʲsʲkei̯
землевласник	zemɫeu̯ɫɑsnek
землетрус	zemɫetrus
земля	zemlʲɑ
земноводне	zemnɔwɔdne
земфіра	zemfʲirɐ
зерно	zernɔ
зерно	zɛrnɔ
зерновий	zernɔʋɪi̯
ззаду	zːɑdʊ
зима	zemɑ
зимний	zɪmnei̯
зимній	zɪmnʲii̯
зимовий	zemɔʋei̯
зимовий	zemɔʋɪi̯
зимородок	zɪmɔrɔdɔk
зимувати	zemʊʋɑte
злива	zɫɪʋɐ
злий	zɫɪi̯
злодій	zɫɔdʲii̯
злочин	zɫɔt͡ʃen
злочинець	zɫɔt͡ʃɪnet͡sʲ
злочинність	zɫɔt͡ʃɪnʲːisʲtʲ
змагання	zmɐɦɑnʲːɐ
змагатися	zmɐɦɑtesʲɐ
зменшення	zmɛnʃenʲːɐ
зменшень	zmɛnʃenʲ
зменшити	zmɛnʃete
зменшувати	zmɛnʃʊʋɐte
змова	zmɔʋɐ
змога	zmɔɦɐ
змусити	zmusete
змушувати	zmuʃʊʋɐte
змі	zʲmʲi
змій	zʲmʲii̯
зміна	zʲmʲinɐ
змінити	zʲmʲinɪte
змінитися	zʲmʲinɪtesʲɐ
змінювати	zʲmʲinʲʊʋɐte
змінюватися	zʲmʲinʲʊʋɐtesʲɐ
зміняти	zʲmʲinʲɑte
зміст	zʲmʲist
змістити	zʲmʲistɪte
зміщати	zʲmʲiʃt͡ʃɑte
зміщувати	zʲmʲiʃt͡ʃʊʋɐte
змія	zʲmʲijɑ
зміїв	zʲmʲijiu̯
знадобитися	znɐdɔbɪtesʲɐ
знайомий	znɐjɔmei̯
знайомити	znɐjɔmete
знайомитися	znɐjɔmetesʲɐ
знайти	znɐi̯tɪ
знайтися	znɐi̯tɪsʲɐ
знак	znɑk
знаменитість	znɐmenɪtʲisʲtʲ
знання	znɐnʲːɑ
знаряддя	znɐrʲɑdʲːɐ
знати	znɑte
знаходити	znɐxɔdete
знаходитися	znɐxɔdetesʲɐ
знахідний	znɐxʲidnei̯
значення	znɑt͡ʃenʲːɐ
значити	znɑt͡ʃete
значний	znɐt͡ʃnɪi̯
зневажливий	zneʋɑʒɫeʋei̯
знедолити	znedɔɫete
знедолювати	znedɔlʲʊʋɐte
зненацька	znenɑt͡sʲkɐ
знеохотити	zneɔxɔtete
знеохочувати	zneɔxɔt͡ʃʊʋɐte
зниження	znɪʒenʲːɐ
знижень	znɪʒenʲ
знижка	znɪʒkɐ
знижки	znɪʒke
знижок	znɪʒɔk
знижувати	znɪʒʊʋɐte
знизити	znɪzete
зникати	znekɑte
зникнути	znɪknʊte
знищити	znɪʃt͡ʃete
знищувати	znɪʃt͡ʃʊʋɐte
знову	znɔwʊ
зняти	zʲnʲɑte
знімати	zʲnʲimɑte
знімок	zʲnʲimɔk
зобов'язання	zɔbɔʋjɑzɐnʲːɐ
зобов'язати	zɔbɔʋjɐzɑte
зобов'язувати	zɔbɔʋjɑzʊʋɐte
зображати	zɔbrɐʒɑte
зображення	zɔbrɑʒenʲːɐ
зображувати	zɔbrɑʒʊʋɐte
зобразити	zɔbrɐzɪte
зовні	zɔu̯nʲi
зовнішньополітичний	zɔu̯nʲiʃnʲɔpɔlʲitɪt͡ʃnei̯
зовнішня	zɔu̯nʲiʃnʲɐ
зовнішній	zɔu̯nʲiʃnʲii̯
зовнішність	zɔu̯nʲiʃnʲisʲtʲ
зовсім	zɔu̯sʲim
зозуля	zozulʲɐ
золота	zɔɫɔtɐ
золотий	zɔɫɔtɪi̯
золото	zɔɫɔtɔ
золотом	zɔɫɔtɔm
золоту	zɔɫɔtʊ
золоті	zɔɫotʲi
золоті	zɔɫɔtʲi
зона	zɔnɐ
зоологія	zɔɔɫɔɦʲijɐ
зоомагазин	zɔɔmɐɦɐzɪn
зоопарк	zɔɔpɑrk
зоровий	zɔrɔʋɪi̯
зоря	zɔrʲɑ
зоряний	zɔrʲɐnei̯
зорієнтувати	zɔrʲijentʊʋɑte
зосереджувати	zɔserɛd͡ʒʊʋɐte
зосередити	zɔserɛdete
зоставатися	zɔstɐʋɑtesʲɐ
зостатися	zɔstɑtesʲɐ
зося	zɔsʲɐ
зошит	zɔʃet
зрада	zrɑdɐ
зрадник	zrɑdnek
зрадниця	zrɑdnet͡sʲɐ
зразка	zrɐzkɑ
зразки	zrɐzkɪ
зразковий	zrɐzkɔʋei̯
зразкові	zrɐzkɔʋʲi
зразків	zrɐzʲkʲiu̯
зразок	zrɐzɔk
зреагувати	zreɐɦʊʋɑte
зрештою	zrɛʃtɔjʊ
зробити	zrɔbɪte
зрозумілий	zrɔzʊmʲiɫei̯
зрозумілість	zrɔzʊmʲilʲisʲtʲ
зрозуміти	zrɔzʊmʲite
зростання	zrɔstɑnʲːɐ
зростати	zrɔstɑte
зрости	zrɔstɪ
зруйнувати	zrʊi̯nʊʋɑte
зрусифікувати	zrʊsefʲikʊʋɑte
зручний	zrut͡ʃnei̯
зручність	zrut͡ʃnʲisʲtʲ
зрілий	zʲrʲiɫei̯
зрілість	zʲrʲilʲisʲtʲ
зріти	zʲrʲite
зуб	zub
зуба	zubɐ
зубенко	zʊbɛnkɔ
зубенята	zʊbenʲɑtɐ
зуби	zube
зубна	zʊbnɑ
зубний	zʊbnɪi̯
зубр	zubr
зубрило	zʊbrɪɫɔ
зубрій	zʊbrʲii̯
зумовити	zʊmɔʋete
зумовлювати	zʊmɔu̯lʲʊʋɐte
зупа	zupɐ
зупинити	zʊpenɪte
зупинитися	zʊpenɪtesʲɐ
зупинка	zʊpɪnkɐ
зупиняти	zʊpenʲɑte
зупинятися	zʊpenʲɑtesʲɐ
зусилля	zʊsɪlʲːɐ
зустріти	zʊstʲrʲite
зустрітися	zʊstʲrʲitesʲɐ
зустріч	zustʲrʲit͡ʃ
зустрічати	zʊstʲrʲit͡ʃɑte
зустрічатися	zʊstʲrʲit͡ʃɑtesʲɐ
зустрічей	zustʲrʲit͡ʃei̯
зустрічі	zustʲrʲit͡ʃʲi
зцілити	zʲt͡sʲiɫɪte
зцілювати	zʲt͡sʲilʲʊʋɐte
зціляти	zʲt͡sʲilʲɑte
зяблик	zʲɑbɫek
зібрати	zʲibrɑte
зібратися	zʲibrɑtesʲɐ
зізнаватися	zʲiznɐʋɑtesʲɐ
зізнатися	zʲiznɑtesʲɐ
зімбабве	zʲimbɑbʋe
зіниця	zʲinɪt͡sʲɐ
зір	zʲir
зірка	zʲirkɐ
ик	ɪk
й	j
ймовірний	i̯mɔʋʲirnei̯
йога	jɔɦɐ
його	jɔɦɔ
йогурт	jɔɦʊrt
йому	jomu
йордан	jɔrdɑn
йорданія	jɔrdɑnʲijɐ
йти	i̯tɪ
кабель	kɑbelʲ
каблучка	kɐbɫut͡ʃkɐ
кабінет	kɐbʲinɛt
кав'ярня	kɐʋjɑrnʲɐ
кава	kɑʋɐ
кавоварка	kɐwɔʋɑrkɐ
кавун	kɐwun
кажан	kɐʒɑn
кажи	kɐʒɪ
кажучи	kɑʒʊt͡ʃe
казан	kɐzɑn
казати	kɐzɑte
казахстан	kɐzɐxstɑn
казахський	kɐzɑxsʲkei̯
казка	kɑzkɐ
казуїстика	kɐzʊjistekɐ
казуїстичний	kɐzʊjistɪt͡ʃnei̯
кайман	kɐi̯mɑn
календар	kɐɫendɑr
календареві	kɐɫendɐrɛʋʲi
календарем	kɐɫendɐrɛm
календарний	kɐɫendɑrnei̯
календарю	kɐɫendɐrʲu
календаря	kɐɫendɐrʲɑ
календарі	kɐɫendɐrʲi
календарів	kɐɫendɐrʲiu̯
калина	kɐɫɪnɐ
калитка	kɐɫɪtkɐ
калька	kɑlʲkɐ
кальцій	kɑlʲt͡sʲii̯
калюжа	kɐlʲuʒɐ
каліграфія	kɐlʲiɦrɑfʲijɐ
калій	kɑlʲii̯
камбоджа	kɐmbɔd͡ʒɐ
кампанія	kɐmpɑnʲijɐ
камуфляж	kɐmʊflʲɑʒ
камінь	kɑmʲinʲ
канава	kɐnɑʋɐ
канада	kɐnɑdɐ
канадець	kɐnɑdet͡sʲ
канадський	kɐnɑd͡zʲsʲkei̯
канадійський	kɐnɐdʲii̯sʲkei̯
канадієць	kɐnɐdʲijet͡sʲ
канал	kɐnɑɫ
кандидат	kɐndedɑt
кандидатура	kɐndedɐturɐ
канонерка	kɐnɔnɛrkɐ
канонерський	kɐnɔnɛrsʲkei̯
капелан	kɐpeɫɑn
капелюх	kɐpelʲux
каплице	kɐpɫɪt͡se
каплицею	kɐpɫɪt͡sejʊ
каплиць	kɐpɫɪt͡sʲ
каплицю	kɐpɫɪt͡sʲʊ
каплиця	kɐpɫɪt͡sʲɐ
каплицям	kɐpɫɪt͡sʲɐm
каплицями	kɐpɫɪt͡sʲɐme
каплицях	kɐpɫɪt͡sʲɐx
каплиці	kɐpɫɪt͡sʲi
капуста	kɐpustɐ
капітал	kɐpʲitɑɫ
капіталізм	kɐpʲitɐlʲizm
капітан	kɐpʲitɑn
капітулювати	kɐpʲitʊlʲʊʋɑte
капітуляція	kɐpʲitʊlʲɑt͡sʲijɐ
кар	kɑr
кар'єра	kɐrjɛrɐ
кара	kɑrɐ
карась	kɐrɑsʲ
карат	kɐrɑt
карати	kɐrɑte
карбованець	kɐrbɔʋɐnet͡sʲ
кардіолог	kɐrdʲiɔɫɔɦ
кардіологічний	kɐrdʲiɔɫoɦʲit͡ʃnei̯
кардіологія	kɐrdʲiɔɫɔɦʲijɐ
карлик	kɑrɫek
карликова	kɑrɫekɔʋɐ
карликовий	kɑrɫekɔʋei̯
карт	kɑrt
карта	kɑrtɐ
картина	kɐrtɪnɐ
картка	kɑrtkɐ
картографічний	kɐrtɔɦrɐfʲit͡ʃnei̯
картографія	kɐrtɔɦrɑfʲijɐ
картопля	kɐrtɔplʲɐ
каріатида	kɐrʲiɐtɪdɐ
каса	kɑsɐ
касир	kɐsɪr
каска	kɑskɐ
каструля	kɐstrulʲɐ
касувати	kɐsʊʋɑte
кат	kɑt
катастроф	kɐtɐstrɔf
катастрофа	kɐtɐstrɔfɐ
катастрофам	kɐtɐstrɔfɐm
катастрофами	kɐtɐstrɔfɐme
катастрофах	kɐtɐstrɔfɐx
катастрофи	kɐtɐstrɔfe
катастрофою	kɐtɐstrɔfɔjʊ
катастрофу	kɐtɐstrɔfʊ
катастрофі	kɐtɐstrɔfʲi
катастрофічний	kɐtɐstrofʲit͡ʃnei̯
категоричний	kɐteɦɔrɪt͡ʃnei̯
категорично	kɐteɦɔrɪt͡ʃnɔ
категорія	kɐteɦɔrʲijɐ
катерина	kɐterɪnɐ
католицький	kɐtɔɫɪt͡sʲkei̯
катувати	kɐtʊʋɑte
кафедра	kɑfedrɐ
кацап	kɐt͡sɑp
кацапка	kɐt͡sɑpkɐ
кацапський	kɐt͡sɑpsʲkei̯
качка	kɑt͡ʃkɐ
каша	kɑʃɐ
кашлянути	kɐʃlʲɐnute
кашляти	kɑʃlʲɐte
каштан	kɐʃtɑn
каштановий	kɐʃtɑnɔʋei̯
квадрат	kʋɐdrɑt
квадратний	kʋɐdrɑtnei̯
квантова	kʋɑntɔʋɐ
квантовий	kʋɑntɔʋei̯
кварк	kʋɑrk
квартир	kʋɐrtɪr
квартира	kʋɐrtɪrɐ
квартири	kʋɐrtɪre
квиток	kʋetɔk
квітень	kʋʲitenʲ
квітка	kʋʲitkɐ
келих	kɛɫex
кельнер	kɛlʲner
кельнерка	kɛlʲnerkɐ
кентавр	kentɑu̯r
кенія	kɛnʲijɐ
кермо	kermɔ
керівник	kerʲiu̯nɪk
керівництво	kerʲiu̯nɪt͡stwɔ
кефір	kefʲir
кидати	kɪdɐte
кий	kɪi̯
килим	kɪɫem
ким	kɪm
кимось	kɪmɔsʲ
кинджал	kend͡ʒɑɫ
кинути	kɪnʊte
кип'ятити	kepjɐtɪte
киплячий	keplʲɑt͡ʃei̯
кипіти	kepʲite
киргизстан	kerɦezstɑn
киргизія	kerɦɪzʲijɐ
кирилиця	kerɪɫet͡sʲɐ
кисень	kɪsenʲ
кислий	kɪsɫei̯
кислота	kesɫɔtɑ
кислотний	kesɫɔtnei̯
кислотність	kesɫɔtʲnʲisʲtʲ
кисть	kɪsʲtʲ
кит	kɪt
китай	ketɑi̯
китайський	ketɑi̯sʲkei̯
китаянка	ketɐjɑnkɐ
китаєць	ketɑjet͡sʲ
китоголов	ketɔɦɔɫɔu̯
кишене	keʃɛne
кишенею	keʃɛnejʊ
кишень	keʃɛnʲ
кишенька	keʃɛnʲkɐ
кишеньковий	keʃenʲkɔʋei̯
кишенькові	keʃenʲkɔʋʲi
кишеню	keʃɛnʲʊ
кишеня	keʃɛnʲɐ
кишеням	keʃɛnʲɐm
кишенями	keʃɛnʲɐme
кишенях	keʃɛnʲɐx
кишені	keʃɛnʲi
кишинів	keʃenʲiu̯
кишка	kɪʃkɐ
кишки	keʃkɪ
кишки	kɪʃke
киянин	kejɑnen
києва	kɪjeʋɐ
києве	kɪjeʋe
києвом	kɪjewɔm
києву	kɪjewʊ
києві	kɪjeʋʲi
київ	kɪjiu̯
київський	kɪjiu̯sʲkei̯
клавдія	kɫɑu̯dʲijɐ
клавіатур	kɫɐʋʲiɐtur
клавіатура	kɫɐʋʲiɐturɐ
клавіатурам	kɫɐʋʲiɐturɐm
клавіатурами	kɫɐʋʲiɐturɐme
клавіатурах	kɫɐʋʲiɐturɐx
клавіатури	kɫɐʋʲiɐture
клавіатурою	kɫɐʋʲiɐturɔjʊ
клавіатуру	kɫɐʋʲiɐturʊ
клавіатурі	kɫɐʋʲiɐturʲi
кладовище	kɫɐdɔʋɪʃt͡ʃe
кладовище	kɫɑdɔʋeʃt͡ʃe
клас	kɫɑs
класифікація	kɫɐsefʲikɑt͡sʲijɐ
класичний	kɫɐsɪt͡ʃnei̯
класовий	kɫɑsɔʋei̯
класти	kɫɑste
клей	kɫɛi̯
клен	kɫɛn
кликати	kɫɪkɐte
кличко	kɫet͡ʃkɔ
кличний	kɫɪt͡ʃnei̯
клоччя	kɫɔt͡ʃʲːɐ
клуатр	kɫʊɑtr
клуб	kɫub
ключ	klʲut͡ʃ
ключовий	klʲʊt͡ʃɔʋɪi̯
клясти	klʲɐstɪ
клясти	klʲɑste
клятий	klʲɑtei̯
клятьба	klʲɐdʲbɑ
клімат	klʲimɐt
кліматичний	klʲimɐtɪt͡ʃnei̯
кліматологічний	klʲimɐtɔɫoɦʲit͡ʃnei̯
кліматологія	klʲimɐtɔɫɔɦʲijɐ
клінічний	klʲinʲit͡ʃnei̯
клітина	klʲitɪnɐ
клітка	klʲitkɐ
клієнт	klʲijɛnt
кнайпа	knɑi̯pɐ
книга	knɪɦɐ
книгарень	kneɦɑrenʲ
книгарня	kneɦɑrnʲɐ
книгарні	kneɦɑrnʲi
книголюб	kneɦolʲub
книжка	knɪʒkɐ
книжкам	kneʒkɑm
книжками	kneʒkɑme
книжках	kneʒkɑx
книжки	kneʒkɪ
книжки	knɪʒke
книжкова	kneʒkɔʋɐ
книжковий	kneʒkɔʋei̯
книжкою	knɪʒkɔjʊ
книжку	knɪʒkʊ
книжок	kneʒɔk
книжці	knɪzʲt͡sʲi
княгиня	knʲɐɦɪnʲɐ
княгині	knʲɐɦɪnʲi
князь	knʲɑzʲ
коала	kɔɑɫɐ
коаліційний	kɔɐlʲit͡sʲii̯nei̯
коаліція	kɔɐlʲit͡sʲijɐ
кобальт	kɔbɐlʲt
кобальтовий	kɔbɐlʲtɔʋei̯
кобза	kɔbzɐ
кобзар	kɔbzɑr
кобила	kɔbɪɫɐ
ковадло	kɔʋɑdɫɔ
ковбаса	kɔu̯bɐsɑ
ковбаси	kɔu̯bɐsɪ
ковбаси	kɔu̯bɑse
ковдра	kɔu̯drɐ
ковзкий	kɔu̯zkɪi̯
ковтати	kɔu̯tɑte
ковтун	kɔu̯tun
когнітивна	kɔɦnʲitɪu̯nɐ
когнітивний	kɔɦnʲitɪu̯nei̯
когось	kɔɦɔsʲ
когут	koɦut
когут	kɔɦʊt
код	kɔd
кода	kɔdɐ
кодекс	kɔdeks
коефіцієнт	kɔefʲit͡sʲijɛnt
кожен	kɔʒen
кожний	kɔʒnei̯
кожного	kɔʒnɔɦɔ
кожух	koʒux
коза	kɔzɑ
козак	kɔzɑk
козака	kɔzɐkɑ
козакам	kɔzɐkɑm
козаками	kɔzɐkɑme
козаках	kɔzɐkɑx
козаки	kɔzɐkɪ
козакові	kɔzɐkɔʋʲi
козаком	kɔzɐkɔm
козаку	kɔzɐku
козаків	kɔzɐkʲiu̯
козаче	kɔzɑt͡ʃe
козачий	kɔzɑt͡ʃei̯
козел	kɔzɛɫ
козирок	kɔzerɔk
кокос	kɔkɔs
коктейль	kɔktɛi̯lʲ
колапс	kɔɫɑps
колгосп	kɔɫɦɔsp
колега	kɔɫɛɦɐ
колектив	kɔɫektɪu̯
колесо	kɔɫesɔ
коли	kɔɫɪ
коливання	kɔɫeʋɑnʲːɐ
коливатися	kɔɫeʋɑtesʲɐ
колись	kɔɫɪsʲ
колишній	kɔɫɪʃnʲii̯
коло	kɔɫɔ
коловодниця	kɔɫɔwɔdnet͡sʲɐ
колода	kɔɫɔdɐ
колодязь	kɔɫɔdʲɐzʲ
колонізувати	kɔɫɔnʲizʊʋɑte
колонія	kɔɫɔnʲijɐ
колосальний	kɔɫɔsɑlʲnei̯
колоти	kɔɫɔte
колумбія	koɫumbʲijɐ
колядування	kɔlʲɐdʊʋɑnʲːɐ
коліно	kolʲinɔ
колір	kɔlʲir
коліс	kolʲis
команда	kɔmɑndɐ
комар	kɔmɑr
комах	kɔmɑx
комаха	kɔmɑxɐ
комахоїдний	kɔmɐxɔjidnei̯
комбінація	kɔmbʲinɑt͡sʲijɐ
комедій	kɔmɛdʲii̯
комедію	kɔmɛdʲijʊ
комедія	kɔmɛdʲijɐ
комедіям	kɔmɛdʲijɐm
комедіями	kɔmɛdʲijɐme
комедіях	kɔmɛdʲijɐx
комедіє	kɔmɛdʲije
комедією	kɔmɛdʲijejʊ
комедії	kɔmɛdʲiji
комендантська	kɔmendɑnʲsʲkɐ
коментар	kɔmentɑr
коментувати	kɔmentʊʋɑte
комерційний	kɔmert͡sʲii̯nei̯
комора	kɔmɔrɐ
комп'ютер	kɔmpjuter
комп'ютеризація	kɔmpjʊterezɑt͡sʲijɐ
комп'ютеризувати	kɔmpjʊterezʊʋɑte
комп'ютерний	kɔmpjuternei̯
компактний	kɔmpɑktnei̯
компактність	kɔmpɑktʲnʲisʲtʲ
компанія	kɔmpɑnʲijɐ
компенсація	kɔmpensɑt͡sʲijɐ
компетентний	kɔmpetɛntnei̯
компетентність	kɔmpetɛntʲnʲisʲtʲ
комплекс	kɔmpɫeks
композитор	kɔmpɔzɪtɔr
композиторка	kɔmpɔzɪtɔrkɐ
композиційний	kɔmpɔzet͡sʲii̯nei̯
композиція	kɔmpɔzɪt͡sʲijɐ
компонент	kɔmpɔnɛnt
кому	komu
кому	kɔmʊ
комунізм	kɔmʊnʲizm
комунікаційний	kɔmʊnʲikɐt͡sʲii̯nei̯
комунікація	kɔmʊnʲikɑt͡sʲijɐ
комуністичний	kɔmʊnʲistɪt͡ʃnei̯
комусь	komusʲ
комусь	kɔmʊsʲ
комфортний	kɔmfɔrtnei̯
комір	kɔmʲir
комірець	kɔmʲirɛt͡sʲ
комісія	komʲisʲijɐ
комітет	kɔmʲitɛt
конвалія	kɔnʋɑlʲijɐ
конвенція	kɔnʋɛnʲt͡sʲijɐ
конгрес	kɔnɦrɛs
кондитер	kɔndɪter
кондитерський	kɔndɪtersʲkei̯
коник	kɔnek
конкретизація	kɔnkretezɑt͡sʲijɐ
конкретизувати	kɔnkretezʊʋɑte
конкретний	kɔnkrɛtnei̯
конкурент	kɔnkʊrɛnt
конкурентний	kɔnkʊrɛntnei̯
конкурентоспроможний	kɔnkʊrentɔsprɔmɔʒnei̯
конкурентоспроможність	kɔnkʊrentɔsprɔmɔʒnʲisʲtʲ
конкуренція	kɔnkʊrɛnʲt͡sʲijɐ
конкурс	kɔnkʊrs
конкурувати	kɔnkʊrʊʋɑte
конлі	kɔnʲlʲi
коноплі	kɔnɔplʲi
конотоп	kɔnɔtɔp
конотіп	kɔnotʲip
консалтинг	kɔnsɑɫtenɦ
консалтинговий	kɔnsɑɫtenɦɔʋei̯
консервативний	kɔnserʋɐtɪu̯nei̯
консервація	kɔnserʋɑt͡sʲijɐ
консервувати	kɔnserwʊʋɑte
конституційний	kɔnstetʊt͡sʲii̯nei̯
конституційність	kɔnstetʊt͡sʲii̯nʲisʲtʲ
конституція	kɔnstetut͡sʲijɐ
конструктивний	kɔnstrʊktɪu̯nei̯
конструкція	konstrukt͡sʲijɐ
консультант	kɔnsʊlʲtɑnt
консультантка	kɔnsʊlʲtɑntkɐ
консультаційний	kɔnsʊlʲtɐt͡sʲii̯nei̯
консультація	kɔnsʊlʲtɑt͡sʲijɐ
контамінація	kɔntɐmʲinɑt͡sʲijɐ
континент	kɔntenɛnt
контрабанда	kɔntrɐbɑndɐ
контрабандист	kɔntrɐbɐndɪst
контрабандний	kɔntrɐbɑndnei̯
контраст	kɔntrɑst
контрастувати	kɔntrɐstʊʋɑte
контроль	kɔntrɔlʲ
контролювати	kɔntrɔlʲʊʋɑte
конференція	kɔnferɛnʲt͡sʲijɐ
конфесія	kɔnfɛsʲijɐ
конфета	kɔnfɛtɐ
конфлікт	konflʲikt
конформізм	kɔnformʲizm
конфіскація	kɔnʲfʲiskɑt͡sʲijɐ
конфіскувати	kɔnʲfʲiskʊʋɑte
концентрацій	kɔnt͡sentrɑt͡sʲii̯
концентраційний	kɔnt͡sentrɐt͡sʲii̯nei̯
