a	a˧˧
bỏ cỏ	bɔ˨˩˦kɔ˨˩˦
bỏ dở	bɔ˨˩˦jɤ˨˩˦
bỏ giọt	bɔ˨˩˦jɔk͡p˨˩˨
bỏ hoang	bɔ˨˩˦hwaŋ˧˧
bỏ hoá	bɔ˨˩˦hwa˦˥
bỏ học	bɔ˨˩˦hɔk͡p˨˩˨
bỏ không	bɔ˨˩˦xoŋ͡m˧˧
bỏ liều	bɔ˨˩˦liəw˧˨
bỏ lái buông sào	bɔ˨˩˦laj˦˥buəŋ˧˧ʂaw˧˨
bỏ lò	bɔ˨˩˦lɔ˧˨
bỏ lơ	bɔ˨˩˦lɤ˧˧
bỏ lơi	bɔ˨˩˦lɤj˧˧
bỏ lỗi	bɔ˨˩˦loj˨˩˦
bỏ lỡ	bɔ˨˩˦lɤ˨˩˦
bỏ lửa tay người	bɔ˨˩˦lɯə˨˩˦tăj˧˧ŋɯəj˧˨
bỏ lửng	bɔ˨˩˦lɯŋ˨˩˦
bỏ muối vào mặt	bɔ˨˩˦muəj˦˥jaw˧˨măk˨˩˨
bỏ mình	bɔ˨˩˦min˧˨
bỏ múi	bɔ˨˩˦muj˦˥
bỏ mạng	bɔ˨˩˦maŋ˨˩˨
bỏ mất	bɔ˨˩˦mɤ̆k˦˥
bỏ mặc	bɔ˨˩˦măk˨˩˨
bỏ mẹ	bɔ˨˩˦mɛ˨˩˨
bỏ mối	bɔ˨˩˦moj˦˥
bỏ mồi bắt bóng	bɔ˨˩˦moj˧˨băk˦˥bɔŋ͡m˦˥
bỏ mứa	bɔ˨˩˦mɯə˦˥
bỏ neo	bɔ˨˩˦neo˧˧
bỏ ngoài tai	bɔ˨˩˦ŋwaj˧˨taj˧˧
bỏ ngũ	bɔ˨˩˦ŋu˨˩˦
bỏ ngỏ	bɔ˨˩˦ŋɔ˨˩˦
bỏ ngục	bɔ˨˩˦ŋuk͡p˨˩˨
bỏ nhỏ	bɔ˨˩˦ɲɔ˨˩˦
bỏ nọc	bɔ˨˩˦nɔk͡p˨˩˨
bỏ phiếu	bɔ˨˩˦fiəw˦˥
bỏ phân	bɔ˨˩˦fɤ̆ŋ˧˧
bỏ phí	bɔ˨˩˦fi˦˥
bỏ phóng sinh	bɔ˨˩˦fɔŋ͡m˦˥ʂin˧˧
bỏ qua	bɔ˨˩˦wa˧˧
bỏ quá	bɔ˨˩˦wa˦˥
bỏ quên	bɔ˨˩˦wen˧˧
bỏ rơi	bɔ˨˩˦ʐɤj˧˧
bỏ rầu	bɔ˨˩˦ʐɤ̆w˧˨
bỏ rẻ	bɔ˨˩˦ʐɛ˨˩˦
bỏ rọ	bɔ˨˩˦ʐɔ˨˩˨
bỏ rọ trôi sông	bɔ˨˩˦ʐɔ˨˩˨ʈoj˧˧ʂoŋ͡m˧˧
bỏ sót	bɔ˨˩˦ʂɔk͡p˦˥
bỏ thuốc	bɔ˨˩˦tʰuək˦˥
bỏ thây	bɔ˨˩˦tʰɤ̆j˧˧
bỏ thì thương vương thì tội	bɔ˨˩˦tʰi˧˨tʰɯəŋ˧˧jɯəŋ˧˧tʰi˧˨toj˨˩˨
bỏ thõng	bɔ˨˩˦tʰɔŋ͡m˨˩˦
bỏ thăm	bɔ˨˩˦tʰăm˧˧
bỏ thương vương tội	bɔ˨˩˦tʰɯəŋ˧˧jɯəŋ˧˧toj˨˩˨
bỏ thầu	bɔ˨˩˦tʰɤ̆w˧˨
bỏ trầu cau	bɔ˨˩˦ʈɤ̆w˧˨kăw˧˧
bỏ trốn	bɔ˨˩˦ʈoŋ͡m˦˥
bỏ trống	bɔ˨˩˦ʈoŋ͡m˦˥
bỏ tù	bɔ˨˩˦tu˧˨
bỏ túi	bɔ˨˩˦tuj˦˥
bỏ vạ	bɔ˨˩˦ja˨˩˨
bỏ vạ bỏ vật	bɔ˨˩˦ja˨˩˨bɔ˨˩˦jɤ̆k˨˩˨
bỏ vật bỏ vạ	bɔ˨˩˦jɤ̆k˨˩˨bɔ˨˩˦ja˨˩˨
bỏ vắng	bɔ˨˩˦jăŋ˦˥
bỏ về	bɔ˨˩˦je˧˨
bỏ vốn	bɔ˨˩˦joŋ͡m˦˥
bỏ xa	bɔ˨˩˦sa˧˧
bỏ xác	bɔ˨˩˦sak˦˥
bỏ xó	bɔ˨˩˦sɔ˦˥
bỏ xõng	bɔ˨˩˦sɔŋ͡m˨˩˦
bỏ xừ	bɔ˨˩˦sɯ˧˨
bỏ ăn	bɔ˨˩˦ăŋ˧˧
bỏ đi	bɔ˨˩˦di˧˧
bỏ đường bỏ sá	bɔ˨˩˦dɯəŋ˧˨bɔ˨˩˦ʂa˦˥
bỏ đời	bɔ˨˩˦dɤj˧˨
bỏ đực	bɔ˨˩˦dɯk˨˩˨
bỏ ống	bɔ˨˩˦oŋ͡m˦˥
bỏi	bɔj˨˩˦
bỏm bẻm	bɔm˨˩˦bɛm˨˩˦
bỏn xẻn	bɔŋ͡m˨˩˦sɛŋ˨˩˦
bỏng	bɔŋ͡m˨˩˦
bỏng cốm	bɔŋ͡m˨˩˦kom˦˥
bỏng họng	bɔŋ͡m˨˩˦hɔŋ͡m˨˩˨
bỏng mẻ	bɔŋ͡m˨˩˦mɛ˨˩˦
bỏng ngô	bɔŋ͡m˨˩˦ŋo˧˧
bỏng nẻ	bɔŋ͡m˨˩˦nɛ˨˩˦
bỏng nổ	bɔŋ͡m˨˩˦no˨˩˦
bỏng rạ	bɔŋ͡m˨˩˦ʐa˨˩˨
bố	bo˦˥
bố chánh	bo˦˥can˦˥
bố chính	bo˦˥cin˦˥
bố chồng	bo˦˥coŋ͡m˧˨
bố chồng là lông con lợn	bo˦˥coŋ͡m˧˨la˧˨loŋ͡m˧˧kɔŋ͡m˧˧lɤŋ˨˩˨
bố cu	bo˦˥ku˧˧
bố cu mẹ đĩ	bo˦˥ku˧˧mɛ˨˩˨di˨˩˦
bố cái	bo˦˥kaj˦˥
bố cái đại vương	bo˦˥kaj˦˥daj˨˩˨jɯəŋ˧˧
bố cáo	bo˦˥kaw˦˥
bố cảnh	bo˦˥kan˨˩˦
bố cục	bo˦˥kuk͡p˨˩˨
bố dượng	bo˦˥jɯəŋ˨˩˨
bố ghẻ	bo˦˥ɣɛ˨˩˦
bố giang	bo˦˥jaŋ˧˧
bố già	bo˦˥ja˧˨
bố hạ	bo˦˥ha˨˩˨
bố kinh	bo˦˥kin˧˧
bố láo	bo˦˥law˦˥
bố láo bố lếu	bo˦˥law˦˥bo˦˥lɛu˦˥
bố lém	bo˦˥lɛm˦˥
bố lếu	bo˦˥lɛu˦˥
bố lếu bố láo	bo˦˥lɛu˦˥bo˦˥law˦˥
bố mìn	bo˦˥min˧˨
bố mẹ	bo˦˥mɛ˨˩˨
bố mẹ nuôi	bo˦˥mɛ˨˩˨nuəj˧˧
bố nuôi	bo˦˥nuəj˧˧
bố phòng	bo˦˥fɔŋ͡m˧˨
bố phượu	bo˦˥fɯəw˨˩˨
bố ráp	bo˦˥ʐap˦˥
bố thí	bo˦˥tʰi˦˥
bố trí	bo˦˥ʈi˦˥
bố trạch	bo˦˥ʈat˨˩˨
bố trận	bo˦˥ʈɤ̆ŋ˨˩˨
bố tời	bo˦˥tɤj˧˨
bố tử	bo˦˥tɯ˨˩˦
bố vi	bo˦˥ji˧˧
bố vờ	bo˦˥jɤ˧˨
bố vợ	bo˦˥jɤ˨˩˨
bố vợ phải đấm	bo˦˥jɤ˨˩˨faj˨˩˦dɤ̆m˦˥
bố y	bo˦˥i˧˧
bố đay	bo˦˥dăj˧˧
bố đĩ	bo˦˥di˨˩˦
bố đẻ	bo˦˥dɛ˨˩˦
bố đỏ	bo˦˥dɔ˨˩˦
bố đỡ đầu	bo˦˥dɤ˨˩˦dɤ̆w˧˨
bốc	bok͡p˦˥
bốc bải	bok͡p˦˥baj˨˩˦
bốc bải dần sàng	bok͡p˦˥baj˨˩˦jɤ̆ŋ˧˨ʂaŋ˧˨
bốc chài	bok͡p˦˥caj˧˨
bốc cháy	bok͡p˦˥căj˦˥
bốc dỡ	bok͡p˦˥jɤ˨˩˦
bốc giời	bok͡p˦˥jɤj˧˨
bốc hoả	bok͡p˦˥hwa˨˩˦
bốc hơi	bok͡p˦˥hɤj˧˧
bốc hốt	bok͡p˦˥hok͡p˦˥
bốc lửa	bok͡p˦˥lɯə˨˩˦
bốc lửa bỏ tay người	bok͡p˦˥lɯə˨˩˦bɔ˨˩˦tăj˧˧ŋɯəj˧˨
bốc máu	bok͡p˦˥măw˦˥
bốc mùi	bok͡p˦˥muj˧˨
bốc mả	bok͡p˦˥ma˨˩˦
bốc mồ	bok͡p˦˥mo˧˨
bốc mộ	bok͡p˦˥mo˨˩˨
bốc nóc	bok͡p˦˥nɔk͡p˦˥
bốc nóng	bok͡p˦˥nɔŋ͡m˦˥
bốc nọc	bok͡p˦˥nɔk͡p˨˩˨
bốc phép	bok͡p˦˥fɛp˦˥
bốc phét	bok͡p˦˥fɛt˦˥
bốc phệ	bok͡p˦˥fe˨˩˨
bốc rời	bok͡p˦˥ʐɤj˧˨
bốc thuốc	bok͡p˦˥tʰuək˦˥
bốc thơm	bok͡p˦˥tʰɤm˧˧
bốc trời	bok͡p˦˥ʈɤj˧˨
bốc vác	bok͡p˦˥jak˦˥
bốc xúc	bok͡p˦˥suk͡p˦˥
bốc xếp	bok͡p˦˥sep˦˥
bốc đồng	bok͡p˦˥doŋ͡m˧˨
bốc-can	bok͡p˦˥-kaŋ˧˧
bốc-xít	bok͡p˦˥-sit˦˥
bốc-xơ	bok͡p˦˥-sɤ˧˧
bối	boj˦˥
bối cảnh	boj˦˥kan˨˩˦
bối cầu	boj˦˥kɤ̆w˧˨
bối mẫu	boj˦˥mɤ̆w˨˩˦
bối rối	boj˦˥ʐoj˦˥
bối rối như bà sư đẻ	boj˦˥ʐoj˦˥ɲɯ˧˧ba˧˨ʂɯ˧˧dɛ˨˩˦
bối rối như tơ vò	boj˦˥ʐoj˦˥ɲɯ˧˧tɤ˧˧jɔ˧˨
bối rối ruột tằm	boj˦˥ʐoj˦˥ʐuək˨˩˨tăm˧˨
bối rối tơ vò	boj˦˥ʐoj˦˥tɤ˧˧jɔ˧˨
bốn	boŋ͡m˦˥
bốn biển	boŋ͡m˦˥biəŋ˨˩˦
bốn biển là nhà	boŋ͡m˦˥biəŋ˨˩˦la˧˨ɲa˧˨
bốn biển một nhà	boŋ͡m˦˥biəŋ˨˩˦mok͡p˨˩˨ɲa˧˨
bốn bên	boŋ͡m˦˥ben˧˧
bốn bề	boŋ͡m˦˥be˧˨
bốn bể	boŋ͡m˦˥be˨˩˦
bốn bể là nhà	boŋ͡m˦˥be˨˩˦la˧˨ɲa˧˨
bốn bể một nhà	boŋ͡m˦˥be˨˩˦mok͡p˨˩˨ɲa˧˨
bốn chung quanh	boŋ͡m˦˥cuŋ͡m˧˧wan˧˧
bốn chân	boŋ͡m˦˥cɤ̆ŋ˧˧
bốn chín chưa qua, năm ba đã đến	boŋ͡m˦˥cin˦˥cɯə˧˧wa˧˧năm˧˧ba˧˧da˨˩˦den˦˥
bốn cõi	boŋ͡m˦˥kɔj˨˩˦
bốn dài hai ngắn	boŋ͡m˦˥jaj˧˨haj˧˧ŋăŋ˦˥
bốn mùa	boŋ͡m˦˥muə˧˨
bốn mươi	boŋ͡m˦˥mɯəj˧˧
bốn phương	boŋ͡m˦˥fɯəŋ˧˧
bốn phương trời, mười phương phật	boŋ͡m˦˥fɯəŋ˧˧ʈɤj˧˨mɯəj˧˨fɯəŋ˧˧fɤ̆k˨˩˨
bốn phương tám hướng	boŋ͡m˦˥fɯəŋ˧˧tam˦˥hɯəŋ˦˥
bốn tay	boŋ͡m˦˥tăj˧˧
bốn tấm dài hai tấm ngắn	boŋ͡m˦˥tɤ̆m˦˥jaj˧˨haj˧˧tɤ̆m˦˥ŋăŋ˦˥
bống	boŋ͡m˦˥
bống ba bống bếnh	boŋ͡m˦˥ba˧˧boŋ͡m˦˥ben˦˥
bống bếnh	boŋ͡m˦˥ben˦˥
bống có gan bống, bớp có gan bớp	boŋ͡m˦˥kɔ˦˥ɣaŋ˧˧boŋ͡m˦˥bɤp˦˥kɔ˦˥ɣaŋ˧˧bɤp˦˥
bốp	bop˦˥
bốp chát	bop˦˥cat˦˥
bốt	bok͡p˦˥
bốt-can	bok͡p˦˥-kaŋ˧˧
bốt-sét	bok͡p˦˥-ʂɛt˦˥
bốt-tin	bok͡p˦˥-tin˧˧
bồ	bo˧˨
bồ bịch	bo˧˨bit˨˩˨
bồ bồ	bo˧˨bo˧˨
bồ chao	bo˧˨caw˧˧
bồ cu	bo˧˨ku˧˧
bồ cu vẽ	bo˧˨ku˧˧jɛ˨˩˦
bồ cào	bo˧˨kaw˧˨
bồ các	bo˧˨kak˦˥
bồ câu	bo˧˨kɤ̆w˧˧
bồ câu trắng	bo˧˨kɤ̆w˧˧ʈăŋ˦˥
bồ còn thóc hết	bo˧˨kɔŋ͡m˧˨tʰɔk͡p˦˥het˦˥
bồ côi	bo˧˨koj˧˧
bồ côi bồ cút	bo˧˨koj˧˧bo˧˨kuk͡p˦˥
bồ công anh	bo˧˨koŋ͡m˧˧an˧˧
bồ cật	bo˧˨kɤ̆k˨˩˨
bồ cắt	bo˧˨kăk˦˥
bồ dục	bo˧˨juk͡p˨˩˨
bồ dục chấm mắm cáy	bo˧˨juk͡p˨˩˨cɤ̆m˦˥măm˦˥kăj˦˥
bồ dục đâu đến bàn thứ năm	bo˧˨juk͡p˨˩˨dɤ̆w˧˧den˦˥baŋ˧˨tʰɯ˦˥năm˧˧
bồ hòn	bo˧˨hɔŋ͡m˧˨
bồ hóng	bo˧˨hɔŋ͡m˦˥
bồ hôi	bo˧˨hoj˧˧
bồ khô pạ	bo˧˨xo˧˧pa˨˩˨
bồ kếp	bo˧˨kep˦˥
bồ kết	bo˧˨ket˦˥
bồ liễu	bo˧˨liəw˨˩˦
bồ lý	bo˧˨li˦˥
bồ ngót	bo˧˨ŋɔk͡p˦˥
bồ ngắm	bo˧˨ŋăm˦˥
bồ nheo bồ nhóc	bo˧˨ɲeo˧˧bo˧˨ɲɔk͡p˦˥
bồ nhìn	bo˧˨ɲin˧˨
bồ nhìn giữ dưa	bo˧˨ɲin˧˨jɯ˨˩˦jɯə˧˧
bồ nhí	bo˧˨ɲi˦˥
bồ nông	bo˧˨noŋ͡m˧˧
bồ quân	bo˧˨wɤ̆ŋ˧˧
bồ sao	bo˧˨ʂaw˧˧
bồ sứt cạp	bo˧˨ʂɯk˦˥kap˨˩˨
bồ tu bồ túi	bo˧˨tu˧˧bo˧˨tuj˦˥
bồ tát	bo˧˨tat˦˥
bồ tèo	bo˧˨teo˧˨
bồ tạt	bo˧˨tat˨˩˨
bồ xuyên	bo˧˨swiəŋ˧˧
bồ đài	bo˧˨daj˧˨
bồ đào	bo˧˨daw˧˨
bồ đầy bồ vơi	bo˧˨dɤ̆j˧˨bo˧˨jɤj˧˧
bồ đầy cót vơi	bo˧˨dɤ̆j˧˨kɔk͡p˦˥jɤj˧˧
bồ đề	bo˧˨de˧˨
bồ-tạt	bo˧˨-tat˨˩˨
bồi	boj˧˨
bồi bàn	boj˧˨baŋ˧˨
bồi bút	boj˧˨buk͡p˦˥
bồi bếp	boj˧˨bep˦˥
bồi bổ	boj˧˨bo˨˩˦
bồi dưỡng	boj˧˨jɯəŋ˨˩˦
bồi dục	boj˧˨juk͡p˨˩˨
bồi hoàn	boj˧˨hwaŋ˧˨
bồi hồi	boj˧˨hoj˧˨
bồi khoản	boj˧˨xwaŋ˨˩˦
bồi lấp	boj˧˨lɤ̆p˦˥
bồi phòng	boj˧˨fɔŋ͡m˧˨
bồi sơn	boj˧˨ʂɤŋ˧˧
bồi thường	boj˧˨tʰɯəŋ˧˨
bồi thường chiến tranh	boj˧˨tʰɯəŋ˧˨ciəŋ˦˥ʈan˧˧
bồi thần	boj˧˨tʰɤ̆ŋ˧˨
bồi thẩm	boj˧˨tʰɤ̆m˨˩˦
bồi thực	boj˧˨tʰɯk˨˩˨
bồi trúc	boj˧˨ʈuk͡p˦˥
bồi tích	boj˧˨tit˦˥
bồi tế	boj˧˨te˦˥
bồi tụ	boj˧˨tu˨˩˨
bồi yến	boj˧˨iɛŋ˦˥
bồi đắp	boj˧˨dăp˦˥
bồi ở, lở đi	boj˧˨ɤ˨˩˦lɤ˨˩˦di˧˧
bồm	bom˧˨
bồm bộp	bom˧˨bop˨˩˨
bồn	boŋ͡m˧˨
bồn binh	boŋ͡m˧˨bin˧˧
bồn chồn	boŋ͡m˧˨coŋ͡m˧˨
bồn kèn	boŋ͡m˧˨kɛŋ˧˨
bồn tắm	boŋ͡m˧˨tăm˦˥
bồng	boŋ͡m˧˨
bồng an	boŋ͡m˧˨aŋ˧˧
bồng bế	boŋ͡m˧˨be˦˥
bồng bềnh	boŋ͡m˧˨ben˧˨
bồng bồng	boŋ͡m˧˨boŋ͡m˧˨
bồng bồng bế bế	boŋ͡m˧˨boŋ͡m˧˨be˦˥be˦˥
bồng bỗng	boŋ͡m˧˨boŋ͡m˨˩˦
bồng bột	boŋ͡m˧˨bok͡p˨˩˨
bồng hồ	boŋ͡m˧˨ho˧˨
bồng khê	boŋ͡m˧˨xe˧˧
bồng lai	boŋ͡m˧˨laj˧˧
bồng lai tiên cảnh	boŋ͡m˧˨laj˧˧tiəŋ˧˧kan˨˩˦
bồng mạc	boŋ͡m˧˨mak˨˩˨
bồng nào trống ấy	boŋ͡m˧˨naw˧˨ʈoŋ͡m˦˥ɤ̆j˦˥
bồng súng	boŋ͡m˧˨ʂuŋ͡m˦˥
bồng sơn	boŋ͡m˧˨ʂɤŋ˧˧
bồng tang	boŋ͡m˧˨taŋ˧˧
bồng tiên	boŋ͡m˧˨tiəŋ˧˧
bồng trống	boŋ͡m˧˨ʈoŋ͡m˦˥
bổ	bo˨˩˦
bổ bán	bo˨˩˦baŋ˦˥
bổ báo	bo˨˩˦baw˦˥
bổ bã	bo˨˩˦ba˨˩˦
bổ chính	bo˨˩˦cin˦˥
bổ chửng	bo˨˩˦cɯŋ˨˩˦
bổ củi	bo˨˩˦kuj˨˩˦
bổ cứu	bo˨˩˦kɯw˦˥
bổ di	bo˨˩˦ji˧˧
bổ dương	bo˨˩˦jɯəŋ˧˧
bổ dưỡng	bo˨˩˦jɯəŋ˨˩˦
bổ dược	bo˨˩˦jɯək˨˩˨
bổ dụng	bo˨˩˦juŋ͡m˨˩˨
bổ huyết	bo˨˩˦hwiək˦˥
bổ hư	bo˨˩˦hɯ˧˧
bổ kho	bo˨˩˦xɔ˧˧
bổ khuyết	bo˨˩˦xwiək˦˥
bổ khí	bo˨˩˦xi˦˥
bổ khí huyết	bo˨˩˦xi˦˥hwiək˦˥
bổ lao	bo˨˩˦law˧˧
bổ lưới	bo˨˩˦lɯəj˦˥
bổ nghĩa	bo˨˩˦ŋiə˨˩˦
bổ ngửa	bo˨˩˦ŋɯə˨˩˦
bổ ngữ	bo˨˩˦ŋɯ˨˩˦
bổ nhiệm	bo˨˩˦ɲim˨˩˨
bổ nhoài	bo˨˩˦ɲwaj˧˨
bổ nhào	bo˨˩˦ɲaw˧˨
bổ nháo	bo˨˩˦ɲaw˦˥
bổ nháo bổ nhào	bo˨˩˦ɲaw˦˥bo˨˩˦ɲaw˧˨
bổ nhậm	bo˨˩˦ɲɤ̆m˨˩˨
bổ nhậm, bổ nhiệm	bo˨˩˦ɲɤ̆m˨˩˨bo˨˩˦ɲim˨˩˨
bổ não	bo˨˩˦naw˨˩˦
bổ sung	bo˨˩˦ʂuŋ͡m˧˧
bổ sấp bổ ngửa	bo˨˩˦ʂɤ̆p˦˥bo˨˩˦ŋɯə˨˩˦
bổ sịa	bo˨˩˦ʂiə˨˩˨
bổ thận	bo˨˩˦tʰɤ̆ŋ˨˩˨
bổ thận dương	bo˨˩˦tʰɤ̆ŋ˨˩˨jɯəŋ˧˧
bổ thận âm	bo˨˩˦tʰɤ̆ŋ˨˩˨ɤ̆m˧˧
bổ trợ	bo˨˩˦ʈɤ˨˩˨
bổ trụ	bo˨˩˦ʈu˨˩˨
bổ tì	bo˨˩˦ti˧˨
bổ túc	bo˨˩˦tuk͡p˦˥
bổ túc văn hoá	bo˨˩˦tuk͡p˦˥jăŋ˧˧hwa˦˥
bổ vây	bo˨˩˦jɤ̆j˧˧
bổ xoài	bo˨˩˦swaj˧˨
bổ xuyết	bo˨˩˦swiək˦˥
bổ âm	bo˨˩˦ɤ̆m˧˧
bổ ích	bo˨˩˦it˦˥
bổ đề	bo˨˩˦de˧˨
bổi	boj˨˩˦
bổi hổi	boj˨˩˦hoj˨˩˦
bổi hổi bồi hồi	boj˨˩˦hoj˨˩˦boj˧˨hoj˧˨
bổn	boŋ͡m˨˩˦
bổn phận	boŋ͡m˨˩˦fɤ̆ŋ˨˩˨
bổn quan	boŋ͡m˨˩˦waŋ˧˧
bổn thân	boŋ͡m˨˩˦tʰɤ̆ŋ˧˧
bổng	boŋ͡m˨˩˦
bổng bểnh	boŋ͡m˨˩˦ben˨˩˦
bổng lộc	boŋ͡m˨˩˦lok͡p˨˩˨
bổng ngoại	boŋ͡m˨˩˦ŋwaj˨˩˨
bổng trầm	boŋ͡m˨˩˦ʈɤ̆m˧˨
bỗ bã	bo˨˩˦ba˨˩˦
bỗng	boŋ͡m˨˩˦
bỗng chốc	boŋ͡m˨˩˦cok͡p˦˥
bỗng dưng	boŋ͡m˨˩˦jɯŋ˧˧
bỗng không	boŋ͡m˨˩˦xoŋ͡m˧˧
bỗng nhiên	boŋ͡m˨˩˦ɲiəŋ˧˧
bỗng nhưng	boŋ͡m˨˩˦ɲɯŋ˧˧
bỗng đâu	boŋ͡m˨˩˦dɤ̆w˧˧
bộ	bo˨˩˨
bộ ba	bo˨˩˨ba˧˧
bộ binh	bo˨˩˨bin˧˧
bộ bánh cóc	bo˨˩˨ban˦˥kɔk͡p˦˥
bộ bảy	bo˨˩˨băj˨˩˦
bộ chiến	bo˨˩˨ciəŋ˦˥
bộ chuyển đổi	bo˨˩˨cwiəŋ˨˩˦doj˨˩˦
bộ chính trị	bo˨˩˨cin˦˥ʈi˨˩˨
bộ chương trình chuyên dụng	bo˨˩˨cɯəŋ˧˧ʈin˧˨cwiəŋ˧˧juŋ͡m˨˩˨
bộ chế hoà khí	bo˨˩˨ce˦˥hwa˧˨xi˦˥
bộ chỉ huy	bo˨˩˨ci˨˩˦hwi˧˧
bộ chọn	bo˨˩˨cɔŋ͡m˨˩˨
bộ cánh	bo˨˩˨kan˦˥
bộ dạng	bo˨˩˨jaŋ˨˩˨
bộ dẫn tiến	bo˨˩˨jɤ̆ŋ˨˩˦tiəŋ˦˥
bộ ghi	bo˨˩˨ɣi˧˧
bộ giải mã	bo˨˩˨jaj˨˩˦ma˨˩˦
bộ giảm thanh	bo˨˩˨jam˨˩˦tʰan˧˧
bộ giảm xóc	bo˨˩˨jam˨˩˦sɔk͡p˦˥
bộ giỡn	bo˨˩˨jɤŋ˨˩˦
bộ gõ	bo˨˩˨ɣɔ˨˩˦
bộ hoãn	bo˨˩˨hwaŋ˨˩˦
bộ hành	bo˨˩˨han˧˨
bộ hình	bo˨˩˨hin˧˨
bộ hạ	bo˨˩˨ha˨˩˨
bộ hộ	bo˨˩˨ho˨˩˨
bộ khuếch đại	bo˨˩˨xwet˦˥daj˨˩˨
bộ li dầu	bo˨˩˨li˧˧jɤ̆w˧˨
bộ li hợp	bo˨˩˨li˧˧hɤp˨˩˨
bộ luật	bo˨˩˨lwɤ̆k˨˩˨
bộ ly dầu	bo˨˩˨li˧˧jɤ̆w˧˨
bộ ly hợp	bo˨˩˨li˧˧hɤp˨˩˨
bộ lòng	bo˨˩˨lɔŋ͡m˧˨
bộ lông	bo˨˩˨loŋ͡m˧˧
bộ lạc	bo˨˩˨lak˨˩˨
bộ lại	bo˨˩˨laj˨˩˨
bộ lễ	bo˨˩˨le˨˩˦
bộ máy	bo˨˩˨măj˦˥
bộ môn	bo˨˩˨moŋ͡m˧˧
bộ mặt	bo˨˩˨măk˨˩˨
bộ mặt hàng	bo˨˩˨măk˨˩˨haŋ˧˨
bộ ngắm	bo˨˩˨ŋăm˦˥
bộ ngựa	bo˨˩˨ŋɯə˨˩˨
bộ nhớ	bo˨˩˨ɲɤ˦˥
bộ nhớ chết	bo˨˩˨ɲɤ˦˥cet˦˥
bộ nhớ sống	bo˨˩˨ɲɤ˦˥ʂoŋ͡m˦˥
bộ não	bo˨˩˨naw˨˩˦
bộ năm	bo˨˩˨năm˧˧
bộ nối	bo˨˩˨noj˦˥
bộ phận	bo˨˩˨fɤ̆ŋ˨˩˨
bộ rung	bo˨˩˨ʐuŋ͡m˧˧
bộ sáu	bo˨˩˨ʂăw˦˥
bộ sấy hơi	bo˨˩˨ʂɤ̆j˦˥hɤj˧˧
bộ sậu	bo˨˩˨ʂɤ̆w˨˩˨
bộ tham mưu	bo˨˩˨tʰam˧˧mɯw˧˧
bộ thuộc	bo˨˩˨tʰuək˨˩˨
bộ triệt âm	bo˨˩˨ʈiək˨˩˨ɤ̆m˧˧
bộ trưởng	bo˨˩˨ʈɯəŋ˨˩˦
bộ tám	bo˨˩˨tam˦˥
bộ tư	bo˨˩˨tɯ˧˧
bộ tư lệnh	bo˨˩˨tɯ˧˧len˨˩˨
bộ tướng	bo˨˩˨tɯəŋ˦˥
bộ tịch	bo˨˩˨tit˨˩˨
bộ tổng tư lệnh	bo˨˩˨toŋ͡m˨˩˦tɯ˧˧len˨˩˨
bộ tộc	bo˨˩˨tok͡p˨˩˨
bộ vi xử lí	bo˨˩˨ji˧˧sɯ˨˩˦li˦˥
bộ ván	bo˨˩˨jaŋ˦˥
bộ vó	bo˨˩˨jɔ˦˥
bộ vạc	bo˨˩˨jak˨˩˨
bộ vạt	bo˨˩˨jat˨˩˨
bộ vận	bo˨˩˨jɤ̆ŋ˨˩˨
bộ vị	bo˨˩˨ji˨˩˨
bộ xương	bo˨˩˨sɯəŋ˧˧
bộ xử lí	bo˨˩˨sɯ˨˩˦li˦˥
bộ xử lí trung tâm	bo˨˩˨sɯ˨˩˦li˦˥ʈuŋ͡m˧˧tɤ̆m˧˧
bộ óc	bo˨˩˨ɔk͡p˦˥
bộ điều biến	bo˨˩˨diəw˧˨biəŋ˦˥
bộ điều chế	bo˨˩˨diəw˧˨ce˦˥
bộ điều giải	bo˨˩˨diəw˧˨jaj˨˩˦
bộ điệu	bo˨˩˨diəw˨˩˨
bộ đàm	bo˨˩˨dam˧˨
bộ đồ	bo˨˩˨do˧˨
bộ đội	bo˨˩˨doj˨˩˨
bộ đội chủ lực	bo˨˩˨doj˨˩˨cu˨˩˦lɯk˨˩˨
bộ đội địa phương	bo˨˩˨doj˨˩˨diə˨˩˨fɯəŋ˧˧
bộ ổn nhiệt	bo˨˩˨oŋ͡m˨˩˦ɲiək˨˩˨
bộ ổn áp	bo˨˩˨oŋ͡m˨˩˦ap˦˥
bộc bạch	bok͡p˨˩˨bat˨˩˨
bộc bố	bok͡p˨˩˨bo˦˥
bộc lôi	bok͡p˨˩˨loj˧˧
bộc lộ	bok͡p˨˩˨lo˨˩˨
bộc nhiêu	bok͡p˨˩˨ɲiəw˧˧
bộc phá	bok͡p˨˩˨fa˦˥
bộc phát	bok͡p˨˩˨fat˦˥
bộc trực	bok͡p˨˩˨ʈɯk˨˩˨
bộc tuệch	bok͡p˨˩˨twet˨˩˨
bộc tuệch bộc toạc	bok͡p˨˩˨twet˨˩˨bok͡p˨˩˨twak˨˩˨
bội	boj˨˩˨
bội bạc	boj˨˩˨bak˨˩˨
bội bạn	boj˨˩˨baŋ˨˩˨
bội chi	boj˨˩˨ci˧˧
