ँ	ə̃
कसूर	qəs̪uːɾ
कसेरा	kəs̪eːɾäː
कसौटी	kəs̪ɔːʈiː
कहना	kɛɦn̪äː
कहनी	kɛɦn̪iː
कहर	kɛɦɛɾ
कहर	qɛɦɛɾ
कहलाना	kɛɦl̪äːn̪äː
कहवा	kɛɦʋäː
कहवा	qɛɦʋäː
कहा	kəɦäː
कहाँ	kəɦä̃ː
कहानी	kəɦäːn̪iː
कहानीकार	kəɦäːn̪iːkäːɾ
कहावत	kəɦäːʋət̪
क़तरा	kət̪ɾäː
क़तरा	qət̪ɾäː
क़त्ल	kət̪l̪
क़त्ल	qət̪l̪
क़त्लेआम	kət̪l̪eːä̃ːm
क़त्लेआम	qət̪l̪eːä̃ːm
क़दम	kəd̪ə̃m
क़दम	qəd̪ə̃m
क़दमताल	kəd̪ə̃mt̪äːl̪
क़दमताल	qəd̪ə̃mt̪äːl̪
क़दीम	kəd̪ĩːm
क़दीम	qəd̪ĩːm
क़द्दावर	kəd̪̚d̪äːʋəɾ
क़द्दावर	qəd̪̚d̪äːʋəɾ
क़द्रदान	kəd̪ɾəd̪ä̃ːn̪
क़द्रदान	qəd̪ɾəd̪ä̃ːn̪
क़फ़स	kəpʰəs̪
क़फ़स	qəfəs̪
क़बीला	kəbiːl̪äː
क़बीला	qəbiːl̪äː
क़बूल	kəbuːl̪
क़बूल	qəbuːl̪
क़ब्ज़ा	kəbd͡ʒäː
क़ब्ज़ा	qəbzäː
क़ब्रिस्तान	kəbɾɪs̪t̪ä̃ːn̪
क़ब्रिस्तान	qəbɾɪs̪t̪ä̃ːn̪
क़रार	kəɾäːɾ
क़रार	qəɾäːɾ
क़रीबन	kəɾiːbə̃n̪
क़रीबन	qəɾiːbə̃n̪
क़लम	kəl̪ə̃m
क़लम	qəl̪ə̃m
क़व्वाल	kəʋʋäːl̪
क़व्वाल	qəʋʋäːl̪
क़व्वाली	kəʋʋäːl̪iː
क़व्वाली	qəʋʋäːl̪iː
क़सम	kəs̪ə̃m
क़सम	qəs̪ə̃m
क़साई	kəs̪äːiː
क़साई	qəs̪äːiː
क़सीदा	kəs̪iːd̪äː
क़सीदा	qəs̪iːd̪äː
क़सूर	kəs̪uːɾ
क़सूर	qəs̪uːɾ
क़स्बा	kəs̪bäː
क़स्बा	qəs̪bäː
क़हर	kɛɦɛɾ
क़हर	qɛɦɛɾ
क़हवा	kɛɦʋäː
क़हवा	qɛɦʋäː
क़ाज़ी	käːd͡ʒiː
क़ाज़ी	qäːziː
क़ातिल	käːt̪ɪl̪
क़ातिल	qäːt̪ɪl̪
क़ातिलाना	käːt̪ɪl̪äːn̪äː
क़ातिलाना	qäːt̪ɪl̪äːn̪äː
क़ानून	käːn̪ũːn̪
क़ानून	qäːn̪ũːn̪
क़ानूनगो	käːn̪ũːn̪ɡoː
क़ानूनगो	qäːn̪ũːn̪ɡoː
क़ाफ़िला	käːpʰɪl̪äː
क़ाफ़िला	qäːfɪl̪äː
क़ाबिज़	käːbɪd͡ʒ
क़ाबिज़	qäːbɪz
क़ाबिल	käːbɪl̪
क़ाबिल	qäːbɪl̪
क़ाबिलीयत	käːbɪl̪iːjət̪
क़ाबिलीयत	qäːbɪl̪iːjət̪
क़ायदा	käːjd̪äː
क़ायदा	qäːjd̪äː
क़ायम	käːjə̃m
क़ायम	qäːjə̃m
क़ालीन	käːl̪ĩːn̪
क़ालीन	qäːl̪ĩːn̪
क़ासिद	käːs̪ɪd̪
क़ासिद	qäːs̪ɪd̪
क़ाहिरा	käːɦɪɾäː
क़ाहिरा	qäːɦɪɾäː
क़िला	kɪl̪äː
क़िला	qɪl̪äː
क़िल्लत	kɪl̪l̪ət̪
क़िल्लत	qɪl̪l̪ət̪
क़िस्त	kɪs̪t̪
क़िस्त	qɪs̪t̪
क़िस्म	kɪs̪m
क़िस्म	qɪs̪m
क़िस्मत	kɪs̪mət̪
क़िस्मत	qɪs̪mət̪
क़िस्सा	kɪs̪s̪äː
क़िस्सा	qɪs̪s̪äː
क़ुरान	kʊɾä̃ːn̪
क़ुरान	qʊɾä̃ːn̪
क़ुल्फ़ी	kʊl̪pʰiː
क़ुल्फ़ी	qʊl̪fiː
क़ैंची	kɛ̃ːn̪t͡ʃiː
क़ैंची	qɛ̃ːn̪t͡ʃiː
क़ैदख़ाना	kɛːd̪kʰäːn̪äː
क़ैदख़ाना	qɛːd̪xäːn̪äː
क़ौम	kɔ̃ːm
क़ौम	qɔ̃ːm
का	käː
काँख	kä̃ːkʰ
काँच	kä̃ːt͡ʃ
काँटा	kä̃ːʈäː
काँपना	kä̃ːpn̪äː
काँव	kä̃ːʋ
काँस	kä̃ːs̪
काँसा	kä̃ːs̪äː
कांग्रेस	kä̃ːŋɡɾeːs̪
कांग्रेसी	kä̃ːŋɡɾeːs̪iː
कांटा	kä̃ːʈäː
कांति	kä̃ːn̪t̪iː
कांदा	kä̃ːn̪d̪äː
कांसा	kä̃ːn̪s̪äː
कांसी	kä̃ːn̪s̪iː
काका	käːkäː
काकी	käːkiː
कागज	käːɡəd͡ʒ
कागज	käːɣəz
कागज़	käːɡəd͡ʒ
कागज़	käːɣəz
कागद	käːɡəd̪
काग़ज	käːɡəd͡ʒ
काग़ज	käːɣəz
काग़ज़	käːɡəd͡ʒ
काग़ज़	käːɣəz
काग़ज़ात	käːɡd͡ʒäːt̪
काग़ज़ात	käːɣzäːt̪
काज	käːd͡ʒ
काजल	käːd͡ʒəl̪
काजू	käːd͡ʒuː
काटना	käːʈn̪äː
काठ	käːʈʰ
काठमांडू	käːʈʰmä̃ːɳɖuː
काढ़ना	käːɽʱn̪äː
कान	kä̃ːn̪
कानपुर	kä̃ːn̪pʊɾ
काना	käːn̪äː
कानून	käːn̪ũːn̪
कानून	qäːn̪ũːn̪
कान्ति	kä̃ːn̪t̪iː
कान्हा	kä̃ːn̪ɦäː
कापी	käːpiː
कापीराइट	käːpiːɾäːɪʈ
काफल	käːpʰəl̪
काफ़ी	käːfiː
काफ़ी	käːpʰiː
काफी	käːfiː
काफी	käːpʰiː
काबीना	käːbiːn̪äː
काबुकी	käːbʊkiː
काबुल	käːbʊl̪
काम	kä̃ːm
कामकाज	kä̃ːmkäːd͡ʒ
कामक्रिया	käːməkɾijäː
कामगार	kä̃ːmɡäːɾ
कामचोर	kä̃ːmt͡ʃoːɾ
कामना	kä̃ːmn̪äː
कामयाब	kä̃ːmjäːb
कामवाली	kä̃ːmwäːl̪iː
कामिल	käːmɪl̪
कामी	käːmiː
कामुक	käːmʊk
कामुकता	käːmʊkt̪äː
कामोन्माद	käːmõːn̪mäːd̪
कायको	käːjkoː
कायनात	käːjn̪äːt̪
कायर	käːjəɾ
कायांतरण	käːjä̃ːn̪t̪əɾə̃ɳ
कायान्तरण	käːjä̃ːn̪t̪əɾə̃ɳ
कायोत्सर्ग	käːjoːt̪s̪əɾɡ
कार	käːɾ
कारक	käːɾək
कारख़ाना	käːɾkʰäːn̪äː
कारख़ाना	käːɾxäːn̪äː
कारखाना	käːɾkʰäːn̪äː
कारखाना	käːɾxäːn̪äː
कारगर	käːɾɡəɾ
कारण	käːɾə̃ɳ
कारतूस	käːɾt̪uːs̪
कारनामा	käːɾn̪äːmäː
कारबार	käːɾbäːɾ
कारवाँ	käːɾʋä̃ː
कारा	käːɾäː
कारावास	käːɾäːʋäːs̪
कारोबारी	käːɾoːbäːɾiː
कार्गो	käːɾɡoː
कार्टून	käːɾʈũːn̪
कार्ड	käːɾɖ
कार्डिफ़	käːɾɖɪf
कार्डिफ़	käːɾɖɪpʰ
कार्तिक	käːɾt̪ɪk
कार्त्तिक	käːɾt̪ɪk
कार्थेज	käːɾt̪ʰeːd͡ʒ
कार्य	käːɾjᵊ
कार्यकर्ता	käːɾjəkəɾt̪äː
कार्यकाल	käːɾjəkäːl̪
कार्यकुशल	käːɾjəkʊʃəl̪
कार्यक्रम	käːɾjəkɾə̃m
कार्यभार	käːɾjəbʱäːɾ
कार्यशाला	käːɾjəʃäːl̪äː
कार्यसमिति	käːɾjəs̪əmɪt̪iː
कार्यसूची	käːɾjəs̪uːt͡ʃiː
कार्यान्वित	käːɾjä̃ːn̪wɪt̪
कार्यालय	käːɾjäːl̪əj
कार्रवाई	käːɾɾəʋäːiː
काल	käːl̪
कालक्रम	käːl̪kɾə̃m
कालजयी	käːl̪d͡ʒəjiː
कालद्वीप	käːl̪əd̪wiːp
काला	käːl̪äː
कालाधन	käːl̪äːd̪ʱə̃n̪
कालापन	käːl̪äːpə̃n̪
कालिज	käːl̪ɪd͡ʒ
काली	käːl̪iː
कालीन	käːl̪ĩːn̪
कालू	käːl̪uː
कालेज	käːl̪eːd͡ʒ
काल्पनिक	käːl̪pən̪ɪk
काव्य	käːʋjᵊ
काष्ठशर्करा	käːʂʈʰʃəɾkəɾäː
कासा	käːs̪äː
किंतु	kɪ̃n̪t̪uː
किंवदंती	kɪ̃mwd̪ə̃n̪t̪iː
किचन	kɪt͡ʃə̃n̪
कितना	kɪt̪̚n̪äː
कितने	kɪt̪̚n̪eː
किताब	kɪt̪äːb
किन	kɪ̃n̪
किनारा	kɪn̪äːɾäː
किन्नर	kɪ̃n̪n̪əɾ
किफ़ायत	kɪfäːjət̪
किफ़ायत	kɪpʰäːjət̪
किफ़ायती	kɪfäːjət̪iː
किफ़ायती	kɪpʰäːjət̪iː
किया	kijäː
किरकिला	kɪɾkɪl̪äː
किरण	kɪɾə̃ɳ
किरणपुंज	kɪɾə̃ɳpʊ̃n̪d͡ʒ
किरदार	kɪɾd̪äːɾ
किराँची	kɪɾä̃ːt͡ʃiː
किराया	kɪɾäːjäː
किरायेदार	kɪɾäːjeːd̪äːɾ
किरासन	kɪɾäːs̪ə̃n̪
किर्गिज़स्तान	kɪɾɡɪd͡ʒəs̪t̪ä̃ːn̪
किर्गिज़स्तान	kɪɾɡɪzəs̪t̪ä̃ːn̪
किला	kɪl̪äː
किला	qɪl̪äː
किलो	kɪl̪oː
किलोग्राम	kɪl̪oːɡɾä̃ːm
किलोमीटर	kɪl̪oːmiːʈəɾ
किशोरा	kɪʃoːɾäː
किसान	kɪs̪ä̃ːn̪
किसानी	kɪs̪äːn̪iː
किस्म	kɪs̪m
किस्म	qɪs̪m
कीटाणु	kiːʈäːɳuː
कीड़ा	kiːɽaː
कीमिया	kiːmijäː
कीर्तन	kiːɾt̪ə̃n̪
कील	kiːl̪
कुँआ	kʊ̃äː
कुँआरी	kʊ̃äːɾiː
कुंजड़ा	kʊ̃n̪d͡ʒɽäː
कुंजी	kʊ̃n̪d͡ʒiː
कुंजीपटल	kʊ̃n̪d͡ʒiːpəʈəl̪
कुंडली	kʊ̃ɳɖl̪iː
कुंडली	kʊ̃ɳɖəl̪iː
कुंद	kʊ̃n̪d̪
कुआँ	kʊä̃ː
कुकुरमुत्ता	kʊkʊɾmʊt̪̚t̪äː
कुख्यात	kʊkʰjäːt̪
कुख्याति	kʊkʰjäːt̪iː
कुचलना	kʊt͡ʃəl̪n̪äː
कुटिया	kʊʈijäː
कुटिल	kʊʈɪl̪
कुटुंब	kʊʈʊ̃mb
कुट्टार	kʊʈ̚ʈäːɾ
कुतरना	kʊt̪əɾn̪äː
कुत्ता	kʊt̪̚t̪äː
कुत्ती	kʊt̪̚t̪iː
कुत्रापि	kʊt̪ɾäːpiː
कुदाल	kʊd̪äːl̪
कुनबा	kʊ̃n̪bäː
कुप्पी	kʊp̚piː
कुमाऊँ	kʊmäːũː
कुमारी	kʊmäːɾiː
कुमुदिनी	kʊmʊd̪ɪn̪iː
कुम्हड़ा	kʊ̃mɦəɽäː
कुम्हलाना	kʊ̃mɦl̪äːn̪äː
कुरता	kʊɾt̪äː
कुरूपता	kʊɾuːpt̪äː
कुर्नूल	kʊɾn̪uːl̪
कुल	kʊl̪
कुलक	kʊl̪ək
कुलधर्म	kʊl̪d̪ʱəɾm
कुल्चा	kʊl̪t͡ʃäː
कुल्ला	kʊl̪l̪äː
कुल्हड़	kʊl̪ɦəɽ
कुशल	kʊʃəl̪
कुशासन	kʊʃäːs̪ə̃n̪
कुसल	kʊs̪əl̪
कुसुम	kʊs̪ʊ̃m
कुसूर	kʊs̪uːɾ
कुसूर	qʊs̪uːɾ
कुहनी	kɔɦn̪iː
कुहरा	kɔɦɾäː
कूटनीति	kuːʈn̪iːt̪iː
कूटनीतिक	kuːʈn̪iːt̪ɪk
कूटनीतिज्ञ	kuːʈn̪iːt̪ɪɡj
कूड़ा	kuːɽäː
कूड़ेदान	kuːɽeːd̪ä̃ːn̪
कूदना	kuːd̪̚n̪äː
कूलॉम	kuːl̪ɔ̃m
कूल्हा	kuːl̪ɦäː
कृतित्व	kɾɪt̪ɪt̪wᵊ
कृत्रिम	kɾɪt̪ɾɪ̃m
कृदंत	kɾɪd̪ə̃n̪t̪
कृदन्त	kɾɪd̪ə̃n̪t̪
कृपया	kɾɪpjäː
कृष्ण	kɾɪʃə̃ɳ
कृष्ण	kɾɪʃɳ
कृष्ण	kɾɪʃɳäː
कृष्णा	kɾɪʃɳäː
कॅटलोनिया	kæʈl̪oːn̪ijäː
कॅन्सर	kæ̃n̪s̪əɾ
केंद्र	kẽːn̪d̪ɾᵊ
केंद्रक	kẽːn̪d̪ɾək
केंद्रित	kẽːn̪d̪ɾɪt̪
केंद्रीकरण	kẽːn̪d̪ɾiːkəɾə̃ɳ
केकड़ा	keːkɽaː
केतली	keːt̪l̪iː
केन्द्र	kẽːn̪d̪ɾᵊ
केन्या	kẽːn̪jäː
केपटाउन	keːpʈäːʊ̃n̪
केरल	keːɾəl̪
केरल	keːɾəl̪ᵊ
केला	keːl̪äː
केलि	keːl̪iː
कैंची	kɛ̃ːn̪t͡ʃiː
कैंची	qɛ̃ːn̪t͡ʃiː
कैंटीन	kɛ̃ːɳʈĩːn̪
कैंडी	kɛ̃ːɳɖiː
कैंब्रिज	kɛ̃ːmbɾɪd͡ʒ
कैंसर	kæ̃n̪s̪əɾ
कैथल	kɛːt̪ʰəl̪
कैनबरा	kɛːn̪əbɾäː
कैमरा	kɛ̃ːmɾäː
कैरम	kɛːɾə̃m
कैलकुलेटर	kɛːl̪kʊl̪eːʈəɾ
कैलगरी	kɛːl̪ɡəɾiː
कैलिफ़ोर्निया	kɛːl̪ɪfoːɾn̪ijäː
कैलिफ़ोर्निया	kɛːl̪ɪpʰoːɾn̪ijäː
कैसा	kɛːs̪äː
कॉपीराइट	kɔpiːɾäːɪʈ
कॉमनवेल्थ	kɔmə̃n̪weːl̪t̪ʰ
कॉमेडियन	kɔmeːɖijə̃n̪
कोंकण	kõːŋkə̃ɳ
कोंकणी	kõːŋkɳiː
कोंपल	kõːmpəl̪
कोटवाल	koːʈwäːl̪
कोटा	koːʈäː
कोठा	koːʈʰäː
कोठारी	koːʈʰäːɾiː
कोड़ा	koːɽäː
कोण	kõːɳ
कोतवाल	koːt̪wäːl̪
कोपचा	koːpt͡ʃäː
कोमोरोस	koːmoːɾoːs̪
कोयंबतूर	koːjə̃mbət̪uːɾ
कोयल	koːjəl̪
कोयला	koːjl̪aː
कोरा	koːɾäː
कोरियन	koːɾijə̃n̪
कोरिया	koːɾijäː
कोरियाई	koːɾijäːiː
कोरेगांव	koːɾeːɡä̃ːmw
कोरोनावायरस	koːɾoːn̪äːʋäːjɾəs̪
कोलकाता	koːl̪käːt̪äː
कोलाहल	koːl̪äːɦəl̪
कोशकला	koːʃkəl̪äː
कोशिका	koːʃɪkäː
कोष	koːʃ
कोष्ठक	koːʃʈʰək
कोस	koːs̪
कोसना	koːs̪n̪äː
कोहनी	koːɦn̪iː
कोहराम	koːɦɾä̃ːm
कोहिमा	koːɦɪmäː
कोहेनूर	koːɦeːn̪uːɾ
कौंसिल	kɔ̃ːn̪s̪ɪl̪
कौआ	kə̯uʋäː
कौन	kɔ̃ːn̪
कौमार्य	kɔːmäːɾjᵊ
कौवा	kə̯uʋäː
क्या	kjäː
क्यूबा	kjuːbäː
क्योंकि	kjõːŋkiː
क्रम	kɾə̃m
क्रमण	kɾəmə̃ɳ
क्रमबद्ध	kɾə̃mbəd̪d̪ʱ
क्रमशः	kɾə̃mʃəɦ
क्रमसूचक	kɾə̃ms̪uːt͡ʃək
क्रमागत	kɾəmäːɡət̪
क्रमादेशन	kɾəmäːd̪eːʃə̃n̪
क्रांति	kɾä̃ːn̪t̪iː
क्रांतिकारी	kɾä̃ːn̪t̪ɪkäːɾiː
क्राइस्टचर्च	kɾäːɪs̪ʈt͡ʃəɾt͡ʃ
क्रान्ति	kɾä̃ːn̪t̪iː
क्रिया	kɾijäː
क्रियाकलाप	kɾijäːkəl̪äːp
क्रियापद	kɾijäːpəd̪
क्रियारूप	kɾijäːɾuːp
क्रियावाचक	kɾijäːʋäːt͡ʃək
क्रियाविशेषण	kɾijäːʋɪʃeːʃə̃ɳ
क्रिसमस	kɾɪs̪məs̪
क्रिस्टल	kɾɪs̪ʈəl̪
क्रिस्मस	kɾɪs̪məs̪
क्रीड़ा	kɾiːɽäː
क्रीड़ास्थल	kɾiːɽäːs̪t̪ʰəl̪
क्रीड़िका	kɾiːɽɪkäː
क्रीडिका	kɾiːɖɪkäː
क्रीम	kɾĩːm
क्रूस	kɾuːs̪
क्रेता	kɾeːt̪äː
क्रेमलिन	kɾẽːml̪ɪ̃n̪
क्रोएशिया	kɾoːeːʃijäː
क्लब	kl̪əb
क्लर्क	kl̪əɾk
क्लास	kl̪äːs̪
क्वथनांक	kwət̪ʰən̪ä̃ːk
क्वारंटीन	kwäːɾə̃ɳʈĩːn̪
क्वार्टज़	kwäːɾʈd͡ʒ
क्वार्टज़	kwäːɾʈz
क्विंटल	kwɪ̃ɳʈəl̪
क्वेटा	kweːʈäː
क्षण	kʃə̃ɳ
क्षति	kʃət̪iː
क्षत्राणी	kʃət̪ɾäːɳiː
क्षत्रिय	kʃət̪ɾijə
क्षमता	kʃə̃mt̪äː
क्षमा	kʃəmäː
क्षम्य	kʃə̃mjᵊ
क्षयरोग	kʃəjɾoːɡ
क्षारातु	kʃäːɾäːt̪uː
क्षारीय	kʃäːɾiːjᵊ
क्षितिज	kʃɪt̪ɪd͡ʒ
क्षीण	kʃĩːɳ
क्षुद्र	kʃʊd̪ɾᵊ
क्षुधा	kʃʊd̪ʱäː
क्षुब्ध	kʃʊbd̪ʱ
क्षेत्र	kʃeːt̪ɾᵊ
क्षेत्रफल	kʃeːt̪ɾəpʰəl̪
क्षेत्ररक्षण	kʃeːt̪ɾəɾəkʃə̃ɳ
क्षेत्राधिकार	kʃeːt̪ɾäːd̪ʱɪkäːɾ
क्षेत्रीय	kʃeːt̪ɾiːjᵊ
खँखड़	kʰə̃ŋkʰəɽ
खंड	kʰə̃ɳɖ
खंडशः	kʰə̃ɳɖʃəɦ
खंडहर	kʰə̃ɳɖʱəɾ
खंबा	kʰə̃mbäː
खंभा	kʰə̃mbʱäː
खगोल	kʰəɡoːl̪
खच्चर	kʰət̚t͡ʃəɾ
खटखटाना	kʰəʈkʰəʈäːn̪äː
खटमल	kʰəʈməl̪
खटमिट्ठा	kʰəʈmɪʈ̚ʈʰäː
खटाई	kʰəʈäːiː
खड़ा	kʰəɽäː
खड़िया	kʰəɽijäː
खड़ूस	kʰəɽuːs̪
खण्ड	kʰə̃ɳɖ
खतौनी	kʰət̪ɔːn̪iː
खदान	kʰəd̪ä̃ːn̪
खदेड़ना	kʰəd̪eːɽn̪äː
खनन	kʰən̪ə̃n̪
खनाखन	kʰən̪äːkʰə̃n̪
खनिज	kʰən̪ɪd͡ʒ
खनित्र	kʰən̪ɪt̪ɾᵊ
खपरैल	kʰəpɾɛːl̪
खयाल	kʰəjäːl̪
खयाल	xəjäːl̪
खयालें	kʰəjäːl̪ẽː
खयालें	xəjäːl̪ẽː
खयालो	kʰəjäːl̪oː
खयालो	xəjäːl̪oː
खयालों	kʰəjäːl̪õː
खयालों	xəjäːl̪õː
खरा	kʰəɾäː
खराई	kʰəɾäːiː
खरोंच	kʰəɾõːn̪t͡ʃ
खरोंचना	kʰəɾõːn̪t͡ʃn̪äː
खलना	kʰəl̪n̪äː
खलनायक	kʰəl̪n̪äːjək
खलासी	kʰəl̪äːs̪iː
खलासी	xəl̪äːs̪iː
खलिहान	kʰəl̪ɪɦä̃ːn̪
खल्लास	kʰəl̪l̪äːs̪
खसरा	kʰəs̪ɾäː
ख़ंजर	kʰə̃n̪d͡ʒəɾ
ख़ंजर	xə̃n̪d͡ʒəɾ
ख़ज़ाना	kʰəd͡ʒäːn̪äː
ख़ज़ाना	xəzäːn̪äː
ख़तम	kʰət̪ə̃m
ख़तम	xət̪ə̃m
ख़ता	kʰət̪äː
ख़ता	xət̪äː
ख़त्म	kʰət̪ə̃m
ख़त्म	xət̪ə̃m
ख़फ़ा	kʰəpʰäː
ख़फ़ा	xəfäː
ख़बरनवीस	kʰəbəɾn̪əʋiːs̪
ख़बरनवीस	xəbəɾn̪əʋiːs̪
ख़म	kʰə̃m
ख़म	xə̃m
ख़मियाज़ा	kʰəmijäːd͡ʒäː
ख़मियाज़ा	xəmijäːzäː
ख़याल	kʰəjäːl̪
ख़याल	xəjäːl̪
ख़रबूज़ा	kʰəɾbuːd͡ʒäː
ख़रबूज़ा	xəɾbuːzäː
ख़राब	kʰəɾäːb
ख़राब	xəɾäːb
ख़राश	kʰəɾäːʃ
ख़राश	xəɾäːʃ
ख़रीदना	kʰəɾiːd̪̚n̪äː
ख़रीदना	xəɾiːd̪̚n̪äː
ख़रीदवाना	kʰəɾiːd̪wäːn̪äː
ख़रीदवाना	xəɾiːd̪wäːn̪äː
ख़रीदार	kʰəɾiːd̪äːɾ
ख़रीदार	xəɾiːd̪äːɾ
ख़रीदारी	kʰəɾiːd̪äːɾiː
ख़रीदारी	xəɾiːd̪äːɾiː
ख़र्चा	kʰəɾt͡ʃäː
ख़र्चा	xəɾt͡ʃäː
ख़लक़	kʰəl̪k
ख़लक़	xəl̪q
ख़लासी	kʰəl̪äːs̪iː
ख़लासी	xəl̪äːs̪iː
ख़लिश	kʰəl̪ɪʃ
ख़लिश	xəl̪ɪʃ
ख़लीफ़ा	kʰəl̪iːpʰäː
ख़लीफ़ा	xəl̪iːfäː
ख़सरा	kʰəs̪ɾäː
ख़सरा	xəs̪ɾäː
ख़ाक	kʰäːk
ख़ाक	xäːk
ख़ाक़ान	kʰäːkä̃ːn̪
ख़ाक़ान	xäːqä̃ːn̪
ख़ाका	kʰäːkäː
ख़ाका	xäːkäː
ख़ातिर	kʰäːt̪ɪɾ
ख़ातिर	xäːt̪ɪɾ
ख़ातून	kʰäːt̪ũːn̪
ख़ातून	xäːt̪ũːn̪
ख़ान	kʰä̃ːn̪
ख़ान	xä̃ːn̪
ख़ानक़ाह	kʰä̃ːn̪käːɦ
ख़ानक़ाह	xä̃ːn̪qäːɦ
ख़ानगी	kʰä̃ːn̪ɡiː
ख़ानगी	xä̃ːn̪ɡiː
ख़ानदान	kʰä̃ːn̪d̪ä̃ːn̪
ख़ानदान	xä̃ːn̪d̪ä̃ːn̪
ख़ानदानी	kʰä̃ːn̪d̪äːn̪iː
ख़ानदानी	xä̃ːn̪d̪äːn̪iː
ख़ानसामा	kʰä̃ːn̪s̪äːmäː
ख़ानसामा	xä̃ːn̪s̪äːmäː
ख़ानसामाँ	kʰä̃ːn̪s̪äːmä̃ː
ख़ानसामाँ	xä̃ːn̪s̪äːmä̃ː
ख़ाना	kʰäːn̪äː
ख़ाना	xäːn̪äː
ख़ानाबदोश	kʰäːn̪äːbəd̪oːʃ
ख़ानाबदोश	xäːn̪äːbəd̪oːʃ
ख़ामी	kʰäːmiː
ख़ामी	xäːmiː
ख़ारिज	kʰäːɾɪd͡ʒ
ख़ारिज	xäːɾɪd͡ʒ
ख़ाला	kʰäːl̪äː
ख़ाला	xäːl̪äː
ख़ालिक़	kʰäːl̪ɪk
ख़ालिक़	xäːl̪ɪq
ख़ालिस	kʰäːl̪ɪs̪
ख़ालिस	xäːl̪ɪs̪
ख़ालिस्तान	kʰäːl̪ɪs̪t̪ä̃ːn̪
ख़ालिस्तान	xäːl̪ɪs̪t̪ä̃ːn̪
ख़ाली	kʰäːl̪iː
ख़ाली	xäːl̪iː
ख़ावंद	kʰäːʋə̃n̪d̪
ख़ावंद	xäːʋə̃n̪d̪
ख़ास	kʰäːs̪
ख़ास	xäːs̪
ख़ासियत	kʰäːs̪ijət̪
ख़ासियत	xäːs̪ijət̪
ख़िताब	kʰɪt̪äːb
ख़िताब	xɪt̪äːb
ख़िताबी	kʰɪt̪äːbiː
ख़िताबी	xɪt̪äːbiː
ख़िदमतगार	kʰɪd̪mət̪ɡäːɾ
ख़िदमतगार	xɪd̪mət̪ɡäːɾ
ख़िलाफ़	kʰɪl̪äːpʰ
ख़िलाफ़	xɪl̪äːf
ख़ुदा	kʰʊd̪äː
ख़ुदा	xʊd̪äː
ख़ुदावंद	kʰʊd̪äːʋə̃n̪d̪
ख़ुदावंद	xʊd̪äːʋə̃n̪d̪
ख़ुफ़िया	kʰʊpʰijäː
ख़ुफ़िया	xʊfijäː
ख़ुराफ़ात	kʰʊɾäːpʰäːt̪
ख़ुराफ़ात	xʊɾäːfäːt̪
ख़ुलासा	kʰʊl̪äːs̪äː
ख़ुलासा	xʊl̪äːs̪äː
ख़ुशआमदीद	kʰʊʃəä̃ːmd̪iːd̪
ख़ुशआमदीद	xʊʃəä̃ːmd̪iːd̪
ख़ुशक़िस्मत	kʰʊʃkɪs̪mət̪
ख़ुशक़िस्मत	xʊʃqɪs̪mət̪
ख़ुशनसीब	kʰʊʃn̪əs̪iːb
ख़ुशनसीब	xʊʃn̪əs̪iːb
ख़ुशबूदार	kʰʊʃbuːd̪äːɾ
