높으락낮으락하다	no̞pʰɯɾa̠ŋna̠d͡ʑɯɾa̠kʰa̠da̠
살그락살그락	sʰa̠ɭɡɯɾa̠ks͈a̠ɭɡɯɾa̠k̚
쑥수그레	s͈uks͈uɡɯɾe̞
들보	tɯɭbo̞
소거하다	sʰo̞ɡʌ̹ɦa̠da̠
일화	iɾβwa̠
목욕탕	mo̞ɡjok̚tʰa̠ŋ
인정받다	ind͡ʑʌ̹ŋba̠t̚t͈a̠
진주하다	t͡ɕind͡ʑuɦa̠da̠
조공	t͡ɕo̞ɡo̞ŋ
드래곤	tɯɾɛ̝ɡo̞n
물질	muɭd͡ʑiɭ
어빡지빡하다	ʌ̹p͈a̠k̚t͡ɕ͈ip͈a̠kʰa̠da̠
충혈	t͡ɕʰuŋʝjʌ̹ɭ
평안	pʰjʌ̹ŋa̠n
사풋사풋하다	sʰa̠pʰut̚s͈a̠pʰutʰa̠da̠
광물학	kwa̠ŋmuɾɦa̠k̚
사슴뿔	sʰa̠sʰɯmp͈uɭ
자르르자르르하다	t͡ɕa̠ɾɯɾɯd͡ʑa̠ɾɯɾɯɦa̠da̠
송조활자	sʰo̞ŋd͡ʑo̞βwa̠ɭd͡ʑa̠
최소치	t͡ɕʰø̞sʰo̞t͡ɕʰi,t͡ɕʰwe̞sʰo̞t͡ɕʰi
본동사	po̞ndo̞ŋsʰa̠
관람	kwa̠ɭɭa̠m
후군	ɸʷuɡun
움푹하다	umpʰukʰa̠da̠
터키	tʰʌ̹kçi
몽탁하다	mo̞ŋtʰa̠kʰa̠da̠
전출	t͡ɕʌ̹nt͡ɕʰuɭ
남옥저	na̠mo̞k̚t͡ɕ͈ʌ̹
빌빌	piɭbiɭ
반주	pa̠nd͡ʑu
폭격기	pʰo̞k̚k͈jʌ̹k̚k͈i
적어지다	t͡ɕʌ̹ɡʌ̹d͡ʑida̠
산호	sʰa̠nβo̞
동일하다	to̞ŋiɾɦa̠da̠
쪼작	t͡ɕ͈o̞d͡ʑa̠k̚
사적자치	sʰa̠d͡ʑʌ̹k̚t͡ɕ͈a̠t͡ɕʰi
가령	ka̠ɾjʌ̹ŋ
무차별	mut͡ɕʰa̠bjʌ̹ɭ
경음악	kjʌ̹ŋɯma̠k̚
이어진문장	iʌ̹d͡ʑinmund͡ʑa̠ŋ
인천국제공항	int͡ɕʰʌ̹nɡuk̚t͡ɕ͈e̞ɡo̞ŋɦa̠ŋ
수줍음	sʰud͡ʑubɯm
극구	kɯk̚k͈u
만전	ma̠nd͡ʑʌ̹n
짤뚜막짤뚜막하다	t͡ɕ͈a̠ɭt͈uma̠k̚t͡ɕ͈a̠ɭt͈uma̠kʰa̠da̠
두절목	tud͡ʑʌ̹ɭmo̞k̚
무성영화	musʰʌ̹ŋjʌ̹ŋβwa̠
경비기지	kjʌ̹ŋbiɡid͡ʑi
모가지	mo̞ɡa̠d͡ʑi
문외한	munø̞ɦa̠n,munwe̞ɦa̠n
덜된	tʌ̹ɭdø̞n,tʌ̹ɭdwe̞n
독송	to̞ks͈o̞ŋ
인권	inɡwʌ̹n
아슬랑거리다	a̠sʰɯɭɭa̠ŋɡʌ̹ɾida̠
새벽	sʰɛ̝bjʌ̹k̚
너부렁넓적하다	nʌ̹buɾʌ̹ŋnʌ̹p̚t͡ɕ͈ʌ̹kʰa̠da̠
안무하다	a̠nmuɦa̠da̠
진밥	t͡ɕinba̠p̚
섣달	sʰʌ̹t̚t͈a̠ɭ
비아냥	pia̠ɲja̠ŋ
수평갱도	sʰupʰjʌ̹ŋɡɛ̝ŋdo̞
월등	wʌ̹ɭdɯŋ
현	çjʌ̹n
검음	kʌ̹mɯm
애절	ɛ̝d͡ʑʌ̹ɭ
넙적넙적이	nʌ̹p̚t͡ɕ͈ʌ̹ŋnʌ̹p̚t͡ɕ͈ʌ̹ɡi
공로	ko̞ŋno̞
몰기	mo̞ɭɡi
돌발홍수	to̞ɭba̠ɾβo̞ŋsʰu
물질대사	muɭd͡ʑiɭdɛ̝sʰa̠
대기소용돌이	tɛ̝ɡisʰo̞joŋdo̞ɾi
소급하다	sʰo̞ɡɯpʰa̠da̠
숙수그레	sʰuks͈uɡɯɾe̞
반강제적	pa̠nɡa̠ŋd͡ʑe̞d͡ʑʌ̹k̚
봉화	po̞ŋβwa̠
역표	jʌ̹k̚pʰjo
약시	ja̠kɕ͈i
틀어박히다	tʰɯɾʌ̹ba̠kçida̠
능가	nɯŋɡa̠
천동	t͡ɕʰʌ̹ndo̞ŋ
아픈	a̠pʰɯn
소프트웨어	sʰo̞pʰɯtʰɯwe̞ʌ̹
치기만만	t͡ɕʰiɡima̠nma̠n
보글대다	po̞ɡɯɭdɛ̝da̠
비행기	piɦɛ̝ŋɡi
가무트름	ka̠mutʰɯɾɯm
유일사상	juiɭsʰa̠sʰa̠ŋ
재해구조	t͡ɕɛ̝ɦɛ̝ɡud͡ʑo̞
스티커	sʰɯtʰikʰʌ̹
진보되다	t͡ɕinbo̞dø̞da̠,t͡ɕinbo̞dwe̞da̠
중력수	t͡ɕuŋɲjʌ̹ks͈u
키르기스스탄	kçiɾɯɡisʰɯsʰɯtʰa̠n
당그랑대다	ta̠ŋɡɯɾa̠ŋdɛ̝da̠
배분법칙	pɛ̝bunbʌ̹p̚t͡ɕʰik̚
깨갱거리다	k͈ɛ̝ɡɛ̝ŋɡʌ̹ɾida̠
달님	ta̠ɭʎim
갑인	ka̠bin
전편	t͡ɕʌ̹npʰjʌ̹n
실현	ɕʰiɾʝjʌ̹n
사부작	sʰa̠bud͡ʑa̠k̚
우들우들	udɯɾudɯɭ
늬	ni
볼통히	po̞ɭtʰo̞ŋʝi
시옷 불규칙 활용	ɕʰio̞t̚puɭɡjut͡ɕʰik̚ɸwa̠ɾjoŋ
한유하다	ha̠ɲjuɦa̠da̠
하옥하다	ha̠o̞kʰa̠da̠
후수	ɸʷusʰu
단거리	ta̠nɡʌ̹ɾi
삼출되다	sʰa̠mt͡ɕʰuɭdø̞da̠,sʰa̠mt͡ɕʰuɭdwe̞da̠
근면가	kɯnmjʌ̹nɡa̠
체임	t͡ɕʰe̞im
제보하다	t͡ɕe̞bo̞ɦa̠da̠
소북소북	sʰo̞buks͈o̞buk̚
소만두	sʰo̞ma̠ndu
견혼식	kjʌ̹nβo̞nɕʰik̚
찰박하다	t͡ɕʰa̠ɭba̠kʰa̠da̠
터덜거리다	tʰʌ̹dʌ̹ɭɡʌ̹ɾida̠
이차방정식	it͡ɕʰa̠ba̠ŋd͡ʑʌ̹ŋɕʰik̚
찌근덕하다	t͡ɕ͈iɡɯndʌ̹kʰa̠da̠
단궤철도	ta̠nɡwe̞t͡ɕʰʌ̹ɭdo̞
중압감	t͡ɕuŋa̠p̚k͈a̠m
매옴	mɛ̝o̞m
방문기	pa̠ŋmunɡi
달세뇨	ta̠ɭsʰe̞ɲjo
박복	pa̠k̚p͈o̞k̚
산조인	sʰa̠nd͡ʑo̞in
맨홀	mɛ̝nβo̞ɭ
어물쩍거리다	ʌ̹muɭt͡ɕ͈ʌ̹k̚k͈ʌ̹ɾida̠
반봉건	pa̠nbo̞ŋɡʌ̹n
구차국	kut͡ɕʰa̠ɡuk̚
기상정역학	kisʰa̠ŋd͡ʑʌ̹ŋjʌ̹kʰa̠k̚
승제	sʰɯŋd͡ʑe̞
샌드위치	sʰɛ̝ndɯɥit͡ɕʰi,sʰɛ̝ndɯyt͡ɕʰi
구부스름	kubusʰɯɾɯm
예방되다	je̞ba̠ŋdø̞da̠,je̞ba̠ŋdwe̞da̠
연속	jʌ̹nsʰo̞k̚
일신교	iɭɕʰinɡjo
말살	ma̠ɭsʰa̠ɭ
팬츠	pʰɛ̝nt͡ɕʰɯ
니즈쿠리	nid͡ʑɯkʰuɾi
공중방전	ko̞ŋd͡ʑuŋba̠ŋd͡ʑʌ̹n
쩡쩡하다	t͡ɕ͈ʌ̹ŋt͡ɕ͈ʌ̹ŋɦa̠da̠
종결 어미	t͡ɕo̞ŋɡjʌ̹ɭʌ̹mi
찬송하다	t͡ɕʰa̠nsʰo̞ŋɦa̠da̠
유배	jubɛ̝
강뚱강뚱하다	ka̠ŋt͈uŋɡa̠ŋt͈uŋɦa̠da̠
서방	sʰʌ̹ba̠ŋ
일맥상통	iɭmɛ̝ks͈a̠ŋtʰo̞ŋ
토박	tʰo̞ba̠k̚
낙향하다	na̠kçja̠ŋɦa̠da̠
근속급	kɯnsʰo̞k̚k͈ɯp̚
길쯤이	kiɭt͡ɕ͈ɯmi
여묾	jʌ̹mum
톡탁톡탁하다	tʰo̞k̚tʰa̠k̚tʰo̞k̚tʰa̠kʰa̠da̠
문제아동	mund͡ʑe̞a̠do̞ŋ
바끄러워하다	pa̠k͈ɯɾʌ̹wʌ̹ɦa̠da̠
대입	tɛ̝ip̚
가입서	ka̠ips͈ʌ̹
싸근싸근하다	s͈a̠ɡɯns͈a̠ɡɯnɦa̠da̠
삼포식	sʰa̠mpʰo̞ɕʰik̚
흔전	xɯnd͡ʑʌ̹n
얼쭝얼쭝하다	ʌ̹ɭt͡ɕ͈uŋʌ̹ɭt͡ɕ͈uŋɦa̠da̠
혼성재배	ɸʷo̞nsʰʌ̹ŋd͡ʑɛ̝bɛ̝
분작	pund͡ʑa̠k̚
성질	sʰʌ̹ŋd͡ʑiɭ
가두기	ka̠duɡi
의료보험	ɰiɾjobo̞ɦʌ̹m
지청구	t͡ɕit͡ɕʰʌ̹ŋɡu
곰작하다	ko̞md͡ʑa̠kʰa̠da̠
긍긍하다	kɯŋɡɯŋɦa̠da̠
바람경각	pa̠ɾa̠mɡjʌ̹ŋɡa̠k̚
원생식물	wʌ̹nsʰɛ̝ŋɕʰiŋmuɭ
넌들넌들하다	nʌ̹ndɯɭɭʌ̹ndɯɾɦa̠da̠
중판본	t͡ɕuŋpʰa̠nbo̞n
여대생	jʌ̹dɛ̝sʰɛ̝ŋ
목하	mo̞kʰa̠
핸드폰	hɛ̝ndɯpʰo̞n
집들이하다	t͡ɕip̚t͈ɯɾiɦa̠da̠
오중창	o̞d͡ʑuŋt͡ɕʰa̠ŋ
보조금	po̞d͡ʑo̞ɡɯm
과들루쁘	kwa̠dɯɭɭup͈ɯ
중이염	t͡ɕuŋijʌ̹m
송년호	sʰo̞ŋɲjʌ̹nβo̞
나부시	na̠buɕʰi
저항하다	t͡ɕʌ̹ɦa̠ŋɦa̠da̠
녹지대	no̞k̚t͡ɕ͈idɛ̝
산문체	sʰa̠nmunt͡ɕʰe̞
비육불포	pijuk̚p͈uɭpʰo̞
평측	pʰjʌ̹ŋt͡ɕʰɯk̚
무우	muu
교세	kjosʰe̞
노착지근	no̞t͡ɕʰa̠k̚t͡ɕ͈iɡɯn
도미니카	to̞minikʰa̠
모성애	mo̞sʰʌ̹ŋɛ̝
대의원	tɛ̝ɰiwʌ̹n
저거	t͡ɕʌ̹ɡʌ̹
방비	pa̠ŋbi
중상모략	t͡ɕuŋsʰa̠ŋmo̞ɾja̠k̚
극존칭	kɯk̚t͡ɕ͈o̞nt͡ɕʰiŋ
항공사	ha̠ŋɡo̞ŋsʰa̠
도새기	to̞sʰɛ̝ɡi
끼	k͈i
누긋누긋하다	nuɡɯnnuɡɯtʰa̠da̠
해당	hɛ̝da̠ŋ
시틋이	ɕʰitʰɯɕʰi
축약하다	t͡ɕʰuɡja̠kʰa̠da̠
제과점	t͡ɕe̞ɡwa̠d͡ʑʌ̹m
구체적	kut͡ɕʰe̞d͡ʑʌ̹k̚
태양	tʰɛ̝ja̠ŋ
얍삽	ja̠ps͈a̠p̚
하무뭇	ha̠mumut̚
일기	iɭɡi
열악	jʌ̹ɾa̠k̚
사르락	sʰa̠ɾɯɾa̠k̚
경호하다	kjʌ̹ŋβo̞ɦa̠da̠
차분차분	t͡ɕʰa̠bunt͡ɕʰa̠bun
새침	sʰɛ̝t͡ɕʰim
증손자	t͡ɕɯŋsʰo̞nd͡ʑa̠
끼룩끼루룩하다	k͈iɾuk̚k͈iɾuɾukʰa̠da̠
가배	ka̠bɛ̝
울퉁울퉁하다	uɭtʰuŋuɭtʰuŋɦa̠da̠
대학교	ˈtɛ̝ːɦa̠k̚k͈jo
문초	munt͡ɕʰo̞
관음상	kwa̠nɯmsʰa̠ŋ
수행원	sʰuɦɛ̝ŋwʌ̹n
둥글파	tuŋɡɯɭpʰa̠
오그리다	o̞ɡɯɾida̠
과실살상	kwa̠ɕʰiɭsʰa̠ɭsʰa̠ŋ
대양	tɛ̝ja̠ŋ
구상화	kusʰa̠ŋβwa̠
틀림없이	tʰɯɭʎimʌ̹pɕ͈i
악화하다	a̠kʰwa̠ɦa̠da̠
걸금테미	kʌ̹ɭɡɯmtʰe̞mi
앞여밈	a̠pʰjʌ̹mim
빠드름	p͈a̠dɯɾɯm
베드신	pe̞dɯɕʰin
다의어	ta̠ɰiʌ̹
공구	ko̞ŋɡu
적응력	t͡ɕʌ̹ɡɯŋɲjʌ̹k̚
소수내각	sʰo̞sʰunɛ̝ɡa̠k̚
관리	kwa̠ɭʎi
휴	ˈçjuː
펄썩펄썩	pʰʌ̹ɭs͈ʌ̹k̚pʰʌ̹ɭs͈ʌ̹k̚
급수하다	kɯps͈uɦa̠da̠
의정안	ɰid͡ʑʌ̹ŋa̠n
발짝발짝하다	pa̠ɭt͡ɕ͈a̠k̚p͈a̠ɭt͡ɕ͈a̠kʰa̠da̠
승야월장하다	sʰɯŋja̠wʌ̹ɭd͡ʑa̠ŋɦa̠da̠
한문식	ha̠nmunɕʰik̚
마스터베이션	ma̠sʰɯtʰʌ̹be̞iɕʰjʌ̹n
콜록하다	kʰo̞ɭɭo̞kʰa̠da̠
엉두덜대다	ʌ̹ŋdudʌ̹ɭdɛ̝da̠
군사법원	kunsʰa̠bʌ̹bwʌ̹n
멀커덕	mʌ̹ɭkʰʌ̹dʌ̹k̚
복지리	po̞k̚t͡ɕ͈iɾi
맨숭맨숭하다	mɛ̝nsʰuŋmɛ̝nsʰuŋɦa̠da̠
살인자	sʰa̠ɾind͡ʑa̠
냅킨	nɛ̝p̚kçin
감작감작하다	ka̠md͡ʑa̠k̚k͈a̠md͡ʑa̠kʰa̠da̠
오그랑쪼그랑하다	o̞ɡɯɾa̠ŋt͡ɕ͈o̞ɡɯɾa̠ŋɦa̠da̠
오도독	o̞do̞do̞k̚
위험인물	ɥiɦʌ̹minmuɭ,yɦʌ̹minmuɭ
점강법	t͡ɕʌ̹mɡa̠ŋbʌ̹p̚
치약	t͡ɕʰija̠k̚
함양하다	ha̠mja̠ŋɦa̠da̠
동동	to̞ŋdo̞ŋ
꼴찌	k͈o̞ɭt͡ɕ͈i
등황	tɯŋβwa̠ŋ
곤혹	ko̞nβo̞k̚
서북방언	sʰʌ̹buk̚p͈a̠ŋʌ̹n
관형구	kwa̠nʝjʌ̹ŋɡu
갈근거리다	ka̠ɭɡɯnɡʌ̹ɾida̠
글쎄	kɯɭs͈e̞
군들군들하다	kundɯɭɡundɯɾɦa̠da̠
세계협정시	sʰe̞ɡje̞ʝjʌ̹p̚t͡ɕ͈ʌ̹ŋɕʰi,sʰe̞ɡe̞ʝjʌ̹p̚t͡ɕ͈ʌ̹ŋɕʰi
바지선	pa̠d͡ʑisʰʌ̹n
버룩거리다	pʌ̹ɾuk̚k͈ʌ̹ɾida̠
기미가요	kimiɡa̠jo
아헨	a̠ɦe̞n
축조하다	t͡ɕʰuk̚t͡ɕ͈o̞ɦa̠da̠
오망하다	o̞ma̠ŋɦa̠da̠
손상하다	sʰo̞nsʰa̠ŋɦa̠da̠
우묵주묵	umuk̚t͡ɕ͈umuk̚
야기	ja̠ɡi
축축하다	t͡ɕʰuk̚t͡ɕʰukʰa̠da̠
보장	po̞d͡ʑa̠ŋ
명령어	mjʌ̹ŋɲjʌ̹ŋʌ̹
산릉선	sʰa̠ɭɭɯŋsʰʌ̹n
합의	ha̠bɰi
바드락대다	pa̠dɯɾa̠k̚t͈ɛ̝da̠
까들까들하다	k͈a̠dɯɭk͈a̠dɯɾɦa̠da̠
곤들거리다	ko̞ndɯɭɡʌ̹ɾida̠
바닷물	pa̠da̠nmuɭ
천렵	t͡ɕʰʌ̹ɭʎjʌ̹p̚
잡일	t͡ɕa̠biɭ
생검	sʰɛ̝ŋɡʌ̹m
평주	pʰjʌ̹ŋd͡ʑu
뿌석	p͈usʰʌ̹k̚
잔득잔득하다	t͡ɕa̠ndɯk̚t͡ɕ͈a̠ndɯkʰa̠da̠
처분하다	t͡ɕʰʌ̹bunɦa̠da̠
물품	muɭpʰum
하리망당	ha̠ɾima̠ŋda̠ŋ
자동계단	t͡ɕa̠do̞ŋɡje̞da̠n,t͡ɕa̠do̞ŋɡe̞da̠n
중앙정부	t͡ɕuŋa̠ŋd͡ʑʌ̹ŋbu
곰국	ko̞mɡuk̚
백화현상	pɛ̝kʰwa̠ʝjʌ̹nsʰa̠ŋ
반득반득	pa̠ndɯk̚p͈a̠ndɯk̚
두벌식	tubʌ̹ɭɕʰik̚
특강	tʰɯk̚k͈a̠ŋ
시뜻이	ɕʰit͈ɯɕʰi
깨뚜드리다	k͈ɛ̝t͈udɯɾida̠
그루지야	kɯɾud͡ʑija̠
깜빡하다	k͈a̠mp͈a̠kʰa̠da̠
각양각색	ka̠ɡja̠ŋɡa̠ks͈ɛ̝k̚
삼생지연	sʰa̠msʰɛ̝ŋd͡ʑijʌ̹n
기명주권	kimjʌ̹ŋd͡ʑuɡwʌ̹n
갈팡	ka̠ɭpʰa̠ŋ
기뢰	kiɾø̞,kiɾwe̞
저르렁거리다	t͡ɕʌ̹ɾɯɾʌ̹ŋɡʌ̹ɾida̠
산길	sʰa̠nɡiɭ
신원설치	ɕʰinwʌ̹nsʰʌ̹ɭt͡ɕʰi
안착	a̠nt͡ɕʰa̠k̚
툰드라	tʰundɯɾa̠
당랑거철	ta̠ŋna̠ŋɡʌ̹t͡ɕʰʌ̹ɭ
반외	pa̠nø̞,pa̠nwe̞
중덜	t͡ɕuŋdʌ̹ɭ
오똘	o̞t͈o̞ɭ
도란	to̞ɾa̠n
차르랑	t͡ɕʰa̠ɾɯɾa̠ŋ
모병제	mo̞bjʌ̹ŋd͡ʑe̞
분리되다	puɭʎidø̞da̠,puɭʎidwe̞da̠
풀풀대다	pʰuɭpʰuɭdɛ̝da̠
체감	t͡ɕʰe̞ɡa̠m
혈기	çjʌ̹ɭɡi
마지기	ma̠d͡ʑiɡi
곡절	ko̞k̚t͡ɕ͈ʌ̹ɭ
스적거리다	sʰɯd͡ʑʌ̹k̚k͈ʌ̹ɾida̠
번뜻번뜻	pʌ̹nt͈ɯt̚p͈ʌ̹nt͈ɯt̚
음운	ɯmun
늠씰	nɯmɕ͈iɭ
슬슬	sʰɯɭsʰɯɭ
신문기자	ɕʰinmunɡid͡ʑa̠
독후감	to̞kʰuɡa̠m
목성	mo̞ks͈ʌ̹ŋ
촌척	t͡ɕʰo̞nt͡ɕʰʌ̹k̚
고급포장	ko̞ɡɯp̚pʰo̞d͡ʑa̠ŋ
곁	kjʌ̹t̚
아세아	a̠sʰe̞a̠
팔	pʰa̠ɭ
옹알	o̞ŋa̠ɭ
보수공사	po̞sʰuɡo̞ŋsʰa̠
살랑살랑	sʰa̠ɭɭa̠ŋsʰa̠ɭɭa̠ŋ
배미쟁이	pɛ̝mid͡ʑɛ̝ŋi
복식호흡	po̞kɕ͈ikʰo̞ɣɯp̚
감탄문	ka̠mtʰa̠nmun
보살계	po̞sʰa̠ɭɡje̞,po̞sʰa̠ɭɡe̞
유의어	juɰiʌ̹
각각	ka̠k̚k͈a̠k̚
전기공업	t͡ɕʌ̹nɡiɡo̞ŋʌ̹p̚
광장	kwa̠ŋd͡ʑa̠ŋ
도대체	to̞dɛ̝t͡ɕʰe̞
전략물자	t͡ɕʌ̹ɭʎja̠ŋmuɭd͡ʑa̠
반항기	pa̠nɦa̠ŋɡi
쾌감	kʰwɛ̝ɡa̠m
포송포송	pʰo̞sʰo̞ŋpʰo̞sʰo̞ŋ
관상목	kwa̠nsʰa̠ŋmo̞k̚
꽐꽐	k͈wa̠ɭk͈wa̠ɭ
든든하다	tɯndɯnɦa̠da̠
일광요법	iɭɡwa̠ŋjobʌ̹p̚
최산제	t͡ɕʰø̞sʰa̠nd͡ʑe̞,t͡ɕʰwe̞sʰa̠nd͡ʑe̞
피망	pʰima̠ŋ
뉘엿하다	nɥijʌ̹tʰa̠da̠,nyjʌ̹tʰa̠da̠
점수	t͡ɕʌ̹msʰu
바지런	pa̠d͡ʑiɾʌ̹n
자진하다	t͡ɕa̠d͡ʑinɦa̠da̠
극우	kɯɡu
야망	ja̠ma̠ŋ
흡수성	xɯps͈usʰʌ̹ŋ
폐강하다	pʰje̞ɡa̠ŋɦa̠da̠,pʰe̞ɡa̠ŋɦa̠da̠
조작	t͡ɕo̞d͡ʑa̠k̚
입천장뼈	ip̚t͡ɕʰʌ̹nd͡ʑa̠ŋp͈jʌ̹
깡마르다	k͈a̠ŋma̠ɾɯda̠
안내실	a̠nnɛ̝ɕʰiɭ
편도선	pʰjʌ̹ndo̞sʰʌ̹n
안타까워하다	a̠ntʰa̠k͈a̠wʌ̹ɦa̠da̠
방직	pa̠ŋd͡ʑik̚
얼씬거리다	ʌ̹ɭɕ͈inɡʌ̹ɾida̠
삽	sʰa̠p̚
잔혹성	t͡ɕa̠nβo̞ks͈ʌ̹ŋ
푸덕푸덕하다	pʰudʌ̹k̚pʰudʌ̹kʰa̠da̠
다듬이	ta̠dɯmi
출석	t͡ɕʰuɭsʰʌ̹k̚
구연세월	kujʌ̹nsʰe̞wʌ̹ɭ
오래전	o̞ɾɛ̝d͡ʑʌ̹n
동산저당	to̞ŋsʰa̠nd͡ʑʌ̹da̠ŋ
본뜻	po̞nt͈ɯt̚
수은전지	sʰuɯnd͡ʑʌ̹nd͡ʑi
녹음방초	no̞ɡɯmba̠ŋt͡ɕʰo̞
반명	pa̠nmjʌ̹ŋ
초산균	t͡ɕʰo̞sʰa̠nɡjun
성재기	sʰʌ̹ŋd͡ʑɛ̝ɡi
시늉	ɕʰiɲjuŋ
처근처근	t͡ɕʰʌ̹ɡɯnt͡ɕʰʌ̹ɡɯn
공함	ko̞ŋɦa̠m
아치랑대다	a̠t͡ɕʰiɾa̠ŋdɛ̝da̠
다황	ta̠βwa̠ŋ
밀매음	miɭmɛ̝ɯm
감독하다	ka̠mdo̞kʰa̠da̠
저르르하다	t͡ɕʌ̹ɾɯɾɯɦa̠da̠
발악	pa̠ɾa̠k̚
수압기	sʰua̠p̚k͈i
사조	sʰa̠d͡ʑo̞
배광	pɛ̝ɡwa̠ŋ
유선형	jusʰʌ̹nʝjʌ̹ŋ
님	nim
기상위성	kisʰa̠ŋɥisʰʌ̹ŋ,kisʰa̠ŋysʰʌ̹ŋ
기압장	kia̠p̚t͡ɕ͈a̠ŋ
인간관계	inɡa̠nɡwa̠nɡje̞,inɡa̠nɡwa̠nɡe̞
신열대구	ɕʰiɲjʌ̹ɭdɛ̝ɡu
시추선	ɕʰit͡ɕʰusʰʌ̹n
발름히	pa̠ɭɭɯmʝi
이어헤기	iʌ̹ɦe̞ɡi
방출되다	pa̠ŋt͡ɕʰuɭdø̞da̠,pa̠ŋt͡ɕʰuɭdwe̞da̠
아르롱이	a̠ɾɯɾo̞ŋi
월북	wʌ̹ɭbuk̚
서서히	sʰʌ̹sʰʌ̹ʝi
반갱	pa̠nɡɛ̝ŋ
가로막	ka̠ɾo̞ma̠k̚
바스러지다	pa̠sʰɯɾʌ̹d͡ʑida̠
기업	kiʌ̹p̚
흡수제	xɯps͈ud͡ʑe̞
판매원	pʰa̠nmɛ̝wʌ̹n
바그라트리다	pa̠ɡɯɾa̠tʰɯɾida̠
반기생	pa̠nɡisʰɛ̝ŋ
큰애	kxɯnɛ̝
기습	kisʰɯp̚
뇌중풍	nø̞d͡ʑuŋpʰuŋ,nwe̞d͡ʑuŋpʰuŋ
대본	tɛ̝bo̞n
묘판	mjopʰa̠n
고로롱대다	ko̞ɾo̞ɾo̞ŋdɛ̝da̠
꽈욱	k͈wa̠uk̚
숙덜	sʰuk̚t͈ʌ̹ɭ
지명입찰	t͡ɕimjʌ̹ŋip̚t͡ɕʰa̠ɭ
무역업	mujʌ̹ɡʌ̹p̚
일부러	iɭbuɾʌ̹
중얼거리다	t͡ɕuŋʌ̹ɭɡʌ̹ɾida̠
계절	kje̞d͡ʑʌ̹ɭ,ke̞d͡ʑʌ̹ɭ
백부장	pɛ̝k̚p͈ud͡ʑa̠ŋ
권층운	kwʌ̹nt͡ɕʰɯŋun
항공	ha̠ŋɡo̞ŋ
가와사끼 시	ka̠wa̠sʰa̠k͈iɕʰi
아이스하키	a̠isʰɯɦa̠kçi
독점가격	to̞k̚t͡ɕ͈ʌ̹mɡa̠ɡjʌ̹k̚
령롱하다	ɾjʌ̹ŋno̞ŋɦa̠da̠
반노	pa̠nno̞
조준점	t͡ɕo̞d͡ʑund͡ʑʌ̹m
독재주의	to̞k̚t͡ɕ͈ɛ̝d͡ʑuɰi
일건	iɭɡʌ̹n
에스컬레이터	e̞sʰɯkʰʌ̹ɭɭe̞itʰʌ̹
지상관측	t͡ɕisʰa̠ŋɡwa̠nt͡ɕʰɯk̚
엉성궂다	ʌ̹ŋsʰʌ̹ŋɡut̚t͈a̠
인정소설	ind͡ʑʌ̹ŋsʰo̞sʰʌ̹ɭ
복허리	po̞kʰʌ̹ɾi
학구파	ha̠k̚k͈upʰa̠
자수립	t͡ɕa̠sʰuɾip̚
퇴행하다	tʰø̞ɦɛ̝ŋɦa̠da̠,tʰwe̞ɦɛ̝ŋɦa̠da̠
역본	jʌ̹k̚p͈o̞n
말권	ma̠ɭɡwʌ̹n
광휘	kwa̠ŋɦɥi,kwa̠ŋɦy
사출수	sʰa̠t͡ɕʰuɭsʰu
부정직하다	pud͡ʑʌ̹ŋd͡ʑikʰa̠da̠
부지직	pud͡ʑid͡ʑik̚
투자가치	tʰud͡ʑa̠ɡa̠t͡ɕʰi
콕콕대다	kʰo̞k̚kʰo̞k̚t͈ɛ̝da̠
엉성엉성	ʌ̹ŋsʰʌ̹ŋʌ̹ŋsʰʌ̹ŋ
높직하다	no̞p̚t͡ɕ͈ikʰa̠da̠
수태	sʰutʰɛ̝
간체	ka̠nt͡ɕʰe̞
염색체	jʌ̹msʰɛ̝k̚t͡ɕʰe̞
기거	kiɡʌ̹
광공업	kwa̠ŋɡo̞ŋʌ̹p̚
포륵	pʰo̞ɾɯk̚
에멜무지로	e̞me̞ɭmud͡ʑiɾo̞
탈카닥탈카닥	tʰa̠ɭkʰa̠da̠k̚tʰa̠ɭkʰa̠da̠k̚
믿어지다	midʌ̹d͡ʑida̠
팔체서	pʰa̠ɭt͡ɕʰe̞sʰʌ̹
진맥하다	t͡ɕinmɛ̝kʰa̠da̠
가격기준	ka̠ɡjʌ̹k̚k͈id͡ʑun
연금술	jʌ̹nɡɯmsʰuɭ
무리함수	muɾiɦa̠msʰu
두유	tuju
묵직묵직	muk̚t͡ɕ͈iŋmuk̚t͡ɕ͈ik̚
시인하다	ɕʰiinɦa̠da̠
추상개념	t͡ɕʰusʰa̠ŋɡɛ̝ɲjʌ̹m
사업체	sʰa̠ʌ̹p̚t͡ɕʰe̞
철강	t͡ɕʰʌ̹ɭɡa̠ŋ
일련탁생	iɭʎjʌ̹ntʰa̠ks͈ɛ̝ŋ
머리카락	mʌ̹ɾikʰa̠ɾa̠k̚
태양계	tʰɛ̝ja̠ŋɡje̞,tʰɛ̝ja̠ŋɡe̞
가랑가랑하다	ka̠ɾa̠ŋɡa̠ɾa̠ŋɦa̠da̠
들큰하다	tɯɭkxɯnɦa̠da̠
비듬	pidɯm
뚝딱	t͈uk̚t͈a̠k̚
