lô cốt	lo˧˧kok͡p˦˥
mạch môn đông	mat˨˩˨moŋ͡m˧˧doŋ͡m˧˧
vị tự	ji˨˩˨tɯ˨˩˨
song thu	ʂɔŋ͡m˧˧tʰu˧˧
bỉ ổi	bi˨˩˦oj˨˩˦
vòng tránh thai	jɔŋ͡m˧˨ʈan˦˥tʰaj˧˧
tiền duyên	tiəŋ˧˨jwiəŋ˧˧
cuồng ngôn	kuəŋ˧˨ŋoŋ͡m˧˧
khênh	xen˧˧
quảng vĩnh	waŋ˨˩˦jin˨˩˦
râm	ʐɤ̆m˧˧
săm-pa-nhơ	ʂăm˧˧-pa˧˧-ɲɤ˧˧
khét tiếng	xɛt˦˥tiəŋ˦˥
tắm gội	tăm˦˥ɣoj˨˩˨
đồng tản	doŋ͡m˧˨taŋ˨˩˦
cấp số	kɤ̆p˦˥ʂo˦˥
ngò	ŋɔ˧˨
khem	xɛm˧˧
đầu độc	dɤ̆w˧˨dok͡p˨˩˨
chất vấn	cɤ̆k˦˥jɤ̆ŋ˦˥
hầu dễ	hɤ̆w˧˨je˨˩˦
tỉ số	ti˨˩˦ʂo˦˥
cột ốp	kok͡p˨˩˨op˦˥
áo bơ-lu-dông	aw˦˥bɤ˧˧-lu˧˧-joŋ͡m˧˧
quần áo	wɤ̆ŋ˧˨aw˦˥
mả táng hàm rồng	ma˨˩˦taŋ˦˥ham˧˨ʐoŋ͡m˧˨
truy tìm	ʈwi˧˧tim˧˨
vàng ệch	jaŋ˧˨et˨˩˨
lên mặt	len˧˧măk˨˩˨
phòng bệnh	fɔŋ͡m˧˨ben˨˩˨
mái tóc	maj˦˥tɔk͡p˦˥
mưa không đến mặt, nắng không đến đầu	mɯə˧˧xoŋ͡m˧˧den˦˥măk˨˩˨năŋ˦˥xoŋ͡m˧˧den˦˥dɤ̆w˧˨
luật quốc tế	lwɤ̆k˨˩˨wok͡p˦˥te˦˥
quân dự nhiệm	wɤ̆ŋ˧˧jɯ˨˩˨ɲim˨˩˨
trục xuất cảnh ngoại	ʈuk͡p˨˩˨swɤ̆k˦˥kan˨˩˦ŋwaj˨˩˨
ngôn hành	ŋoŋ͡m˧˧han˧˨
thi hành	tʰi˧˧han˧˨
khai sáng	xaj˧˧ʂaŋ˦˥
văn mình, vợ người	jăŋ˧˧min˧˨jɤ˨˩˨ŋɯəj˧˨
rơm rạ	ʐɤm˧˧ʐa˨˩˨
dải an toàn	jaj˨˩˦aŋ˧˧twaŋ˧˨
rợn tóc gáy	ʐɤŋ˨˩˨tɔk͡p˦˥ɣăj˦˥
chò chỉ	cɔ˧˨ci˨˩˦
cải soong	kaj˨˩˦ʂɔŋ͡m˧˧
trung hà	ʈuŋ͡m˧˧ha˧˨
xoang xoảng	swaŋ˧˧swaŋ˨˩˦
xúm xít	sum˦˥sit˦˥
dễ như ăn gỏi	je˨˩˦ɲɯ˧˧ăŋ˧˧ɣɔj˨˩˦
rượu cúc	ʐɯəw˨˩˨kuk͡p˦˥
luống tuổi	luəŋ˦˥tuəj˨˩˦
trồng chuối	ʈoŋ͡m˧˨cuəj˦˥
mạnh đông	man˨˩˨doŋ͡m˧˧
thây ma	tʰɤ̆j˧˧ma˧˧
hải mã	haj˨˩˦ma˨˩˦
bắt thóp	băk˦˥tʰɔp˦˥
ngáp vặt	ŋap˦˥jăk˨˩˨
quành quạch	wan˧˨wat˨˩˨
dậm	jɤ̆m˨˩˨
trần thái tông	ʈɤ̆ŋ˧˨tʰaj˦˥toŋ͡m˧˧
tiền mất tật mang	tiəŋ˧˨mɤ̆k˦˥tɤ̆k˨˩˨maŋ˧˧
cẩm nhượng	kɤ̆m˨˩˦ɲɯəŋ˨˩˨
nương mạ	nɯəŋ˧˧ma˨˩˨
trói tôm	ʈɔj˦˥tom˧˧
ngát	ŋat˦˥
cuống cà kê	kuəŋ˦˥ka˧˨ke˧˧
lai vãng	laj˧˧jaŋ˨˩˦
chuyên sử	cwiəŋ˧˧ʂɯ˨˩˦
kì giông	ki˧˨joŋ͡m˧˧
cõng rắn cắn gà nhà	kɔŋ͡m˨˩˦ʐăŋ˦˥kăŋ˦˥ɣa˧˨ɲa˧˨
bắp đùi	băp˦˥duj˧˨
tổ dân phố	to˨˩˦jɤ̆ŋ˧˧fo˦˥
dõng	jɔŋ͡m˨˩˦
vi mô	ji˧˧mo˧˧
li-thi	li˧˧-tʰi˧˧
cảm giác học	kam˨˩˦jak˦˥hɔk͡p˨˩˨
nhịu	ɲiw˨˩˨
sơ hở	ʂɤ˧˧hɤ˨˩˦
nại chứng	naj˨˩˨cɯŋ˦˥
gió mùa đông-bắc	jɔ˦˥muə˧˨doŋ͡m˧˧-băk˦˥
sống dầu đèn, chết kèn trống	ʂoŋ͡m˦˥jɤ̆w˧˨dɛŋ˧˨cet˦˥kɛŋ˧˨ʈoŋ͡m˦˥
gạo trắng nước trong	ɣaw˨˩˨ʈăŋ˦˥nɯək˦˥ʈɔŋ͡m˧˧
lẻ bộ	lɛ˨˩˦bo˨˩˨
nhà chữ công	ɲa˧˨cɯ˨˩˦koŋ͡m˧˧
dính	jin˦˥
thiếu đói	tʰiəw˦˥dɔj˦˥
cát bụi	kat˦˥buj˨˩˨
gióng trống khua chiêng	jɔŋ͡m˦˥ʈoŋ͡m˦˥xuə˧˧ciəŋ˧˧
hè thu	hɛ˧˨tʰu˧˧
ngập mặt	ŋɤ̆p˨˩˨măk˨˩˨
bất chấp	bɤ̆k˦˥cɤ̆p˦˥
chồng loan vợ phượng	coŋ͡m˧˨lwaŋ˧˧jɤ˨˩˨fɯəŋ˨˩˨
lẵng đẵng	lăŋ˨˩˦dăŋ˨˩˦
liếm gót	lim˦˥ɣɔk͡p˦˥
tiểu hùng	tiəw˨˩˦huŋ͡m˧˨
giang tân	jaŋ˧˧tɤ̆ŋ˧˧
tân viên	tɤ̆ŋ˧˧jiəŋ˧˧
quế hòe	we˦˥hwe˧˨
bủn	buŋ͡m˨˩˦
tròn xoay	ʈɔŋ͡m˧˨swăj˧˧
da lông	ja˧˧loŋ͡m˧˧
xem bói	sɛm˧˧bɔj˦˥
đời thủa	dɤj˧˨tʰuə˨˩˦
triệu lễ	ʈiəw˨˩˨le˨˩˦
khum lưng uốn gối	xum˧˧lɯŋ˧˧uəŋ˦˥ɣoj˦˥
bất trị	bɤ̆k˦˥ʈi˨˩˨
sọc	ʂɔk͡p˨˩˨
bóc trần	bɔk͡p˦˥ʈɤ̆ŋ˧˨
bánh kẹo	ban˦˥keo˨˩˨
ăn mực	ăŋ˧˧mɯk˨˩˨
chồng chả vợ nem	coŋ͡m˧˨ca˨˩˦jɤ˨˩˨nɛm˧˧
nghim nghỉm	ŋim˧˧ŋim˨˩˦
suất lĩnh	ʂwɤ̆k˦˥lin˨˩˦
chán vạn	caŋ˦˥jaŋ˨˩˨
nằm nép	năm˧˨nɛp˦˥
nói như giùi đục chấm mắm cáy	nɔj˦˥ɲɯ˧˧juj˧˨duk͡p˨˩˨cɤ̆m˦˥măm˦˥kăj˦˥
thuỵ hưng	tʰwi˨˩˨hɯŋ˧˧
mớ ba mớ bảy	mɤ˦˥ba˧˧mɤ˦˥băj˨˩˦
bà lớn	ba˧˨lɤŋ˦˥
vặn	jăŋ˨˩˨
thư	tʰɯ˧˧
diếp ma	jip˦˥ma˧˧
khảo dị	xaw˨˩˦ji˨˩˨
chấm phạt đền	cɤ̆m˦˥fat˨˩˨den˧˨
chểnh choảng	cen˨˩˦cwaŋ˨˩˦
nhân bần trí đoản	ɲɤ̆ŋ˧˧bɤ̆ŋ˧˨ʈi˦˥dwaŋ˨˩˦
mong ước	mɔŋ͡m˧˧ɯək˦˥
lách cách	lat˦˥kat˦˥
quý hóa	wi˦˥hwa˦˥
sẹp	ʂɛp˨˩˨
săng-chi-ê	ʂăŋ˧˧-ci˧˧-e˧˧
công quyền	koŋ͡m˧˧wiɛŋ˧˨
đăng kí	dăŋ˧˧ki˦˥
hồi trước	hoj˧˨ʈɯək˦˥
xôm xuê	som˧˧swe˧˧
duyên cá nước	jwiəŋ˧˧ka˦˥nɯək˦˥
mất mát	mɤ̆k˦˥mat˦˥
võ di nguy	jɔ˨˩˦ji˧˧ŋwi˧˧
võ trường toản	jɔ˨˩˦ʈɯəŋ˧˨twaŋ˨˩˦
lê nin nít	le˧˧nin˧˧nit˦˥
răng chó	ʐăŋ˧˧cɔ˦˥
chọ	cɔ˨˩˨
nửa tỉnh nửa mê	nɯə˨˩˦tin˨˩˦nɯə˨˩˦me˧˧
thụ tinh nhân tạo	tʰu˨˩˨tin˧˧ɲɤ̆ŋ˧˧taw˨˩˨
an khang	aŋ˧˧xaŋ˧˧
mối	moj˦˥
thành ý	tʰan˧˨i˦˥
ơn nặng nghĩa dày	ɤŋ˧˧năŋ˨˩˨ŋiə˨˩˦jăj˧˨
dạ thị	ja˨˩˨tʰi˨˩˨
đánh dạn	dan˦˥jaŋ˨˩˨
cứu trợ	kɯw˦˥ʈɤ˨˩˨
lá lốt	la˦˥lok͡p˦˥
tê tề	te˧˧te˧˨
mộng mị	moŋ͡m˨˩˨mi˨˩˨
chân bụng	cɤ̆ŋ˧˧buŋ͡m˨˩˨
cận sản	kɤ̆ŋ˨˩˨ʂaŋ˨˩˦
giun xoắn	juŋ͡m˧˧swăŋ˦˥
con dại cái mang	kɔŋ͡m˧˧jaj˨˩˨kaj˦˥maŋ˧˧
đũa gắp một chiếc	duə˨˩˦ɣăp˦˥mok͡p˨˩˨ciək˦˥
búa khoan	buə˦˥xwaŋ˧˧
lơ ngơ	lɤ˧˧ŋɤ˧˧
hữu hảo	hɯw˨˩˦haw˨˩˦
duy tha	jwi˧˧tʰa˧˧
ít ra	it˦˥ʐa˧˧
phắc-tuya	făk˦˥-twiə˧˧
kiên quyết	kiəŋ˧˧wiɛt˦˥
khẩu ngữ	xɤ̆w˨˩˦ŋɯ˨˩˦
mục tiền	muk͡p˨˩˨tiəŋ˧˨
nghi thức	ŋi˧˧tʰɯk˦˥
trọng hạ	ʈɔŋ͡m˨˩˨ha˨˩˨
dép lê	jɛp˦˥le˧˧
sơn a	ʂɤŋ˧˧a˧˧
rập	ʐɤ̆p˨˩˨
rối như bòng bong	ʐoj˦˥ɲɯ˧˧bɔŋ͡m˧˨bɔŋ͡m˧˧
ễnh bụng	en˨˩˦buŋ͡m˨˩˨
kiên nghị	kiəŋ˧˧ŋi˨˩˨
hũm	hum˨˩˦
điêu luyện	diəw˧˧lwiəŋ˨˩˨
bạc nghĩa	bak˨˩˨ŋiə˨˩˦
chỏi	cɔj˨˩˦
đèn pin	dɛŋ˧˨pin˧˧
sừng hươu	ʂɯŋ˧˨hɯəw˧˧
vịt pha	jit˨˩˨fa˧˧
đòn dông	dɔŋ͡m˧˨joŋ͡m˧˧
xuất thân	swɤ̆k˦˥tʰɤ̆ŋ˧˧
đại lý	daj˨˩˨li˦˥
giảng đình	jaŋ˨˩˦din˧˨
dật dờ	jɤ̆k˨˩˨jɤ˧˨
phỏng vấn	fɔŋ͡m˨˩˦jɤ̆ŋ˦˥
non	nɔŋ͡m˧˧
cắm sào	kăm˦˥ʂaw˧˨
cội	koj˨˩˨
nái sề	naj˦˥ʂe˧˨
bé hạt tiêu	bɛ˦˥hat˨˩˨tiəw˧˧
tân hoà thành	tɤ̆ŋ˧˧hwa˧˨tʰan˧˨
cháo lão	caw˦˥law˨˩˦
thiên tài	tʰiəŋ˧˧taj˧˨
đại lão	daj˨˩˨law˨˩˦
trực mỹ	ʈɯk˨˩˨mi˨˩˦
nhất ngôn kí xuất tứ mã nan truy	ɲɤ̆k˦˥ŋoŋ͡m˧˧ki˦˥swɤ̆k˦˥tɯ˦˥ma˨˩˦naŋ˧˧ʈwi˧˧
dớ da dớ dẩn	jɤ˦˥ja˧˧jɤ˦˥jɤ̆ŋ˨˩˦
mỏng tang	mɔŋ͡m˨˩˦taŋ˧˧
dưỡng	jɯəŋ˨˩˦
tam quan	tam˧˧waŋ˧˧
nặng đầu	năŋ˨˩˨dɤ̆w˧˨
dúi dụi	juj˦˥juj˨˩˨
cơ chỉ	kɤ˧˧ci˨˩˦
la-dơn	la˧˧-jɤŋ˧˧
dữ kiện	jɯ˨˩˦kiəŋ˨˩˨
tép riu	tɛp˦˥ʐiw˧˧
đàn tam	daŋ˧˨tam˧˧
gia thuộc	ja˧˧tʰuək˨˩˨
xúc phạm	suk͡p˦˥fam˨˩˨
hoan tống	hwaŋ˧˧toŋ͡m˦˥
ục	uk͡p˨˩˨
ảo não	aw˨˩˦naw˨˩˦
hết trơn hết trọi	het˦˥ʈɤŋ˧˧het˦˥ʈɔj˨˩˨
tưng bốc	tɯŋ˧˧bok͡p˦˥
hò mái nhì	hɔ˧˨maj˦˥ɲi˧˨
nhung kẻ	ɲuŋ͡m˧˧kɛ˨˩˦
cay mắt	kăj˧˧măk˦˥
trưởng ti	ʈɯəŋ˨˩˦ti˧˧
không vận	xoŋ͡m˧˧jɤ̆ŋ˨˩˨
bò la bò lết	bɔ˧˨la˧˧bɔ˧˨let˦˥
an ninh	aŋ˧˧nin˧˧
pu péo	pu˧˧peo˦˥
gió quét mưa sa	jɔ˦˥wɛt˦˥mɯə˧˧ʂa˧˧
tóc bạc răng long	tɔk͡p˦˥bak˨˩˨ʐăŋ˧˧lɔŋ͡m˧˧
cán cân buôn bán	kaŋ˦˥kɤ̆ŋ˧˧buəŋ˧˧baŋ˦˥
tự lợi	tɯ˨˩˨lɤj˨˩˨
thư bảo đảm	tʰɯ˧˧baw˨˩˦dam˨˩˦
lâm thời	lɤ̆m˧˧tʰɤj˧˨
lấy giọng	lɤ̆j˦˥jɔŋ͡m˨˩˨
tí hon	ti˦˥hɔŋ͡m˧˧
miễu	miəw˨˩˦
phớt ăng-lê	fɤk˦˥ăŋ˧˧-le˧˧
trương lương	ʈɯəŋ˧˧lɯəŋ˧˧
khác chỗ	xak˦˥co˨˩˦
hoàng thượng	hwaŋ˧˨tʰɯəŋ˨˩˨
giả của	ja˨˩˦kuə˨˩˦
rau húng	ʐăw˧˧huŋ͡m˦˥
vọng tiêu	jɔŋ͡m˨˩˨tiəw˧˧
chấn thương học	cɤ̆ŋ˦˥tʰɯəŋ˧˧hɔk͡p˨˩˨
rau súng ăn gỏi	ʐăw˧˧ʂuŋ͡m˦˥ăŋ˧˧ɣɔj˨˩˦
sở trường	ʂɤ˨˩˦ʈɯəŋ˧˨
câu nhạc	kɤ̆w˧˧ɲak˨˩˨
ngốc đàn hơn khôn độc	ŋok͡p˦˥daŋ˧˨hɤŋ˧˧xoŋ͡m˧˧dok͡p˨˩˨
chăm bón	căm˧˧bɔŋ͡m˦˥
nói xa	nɔj˦˥sa˧˧
bàn tính	baŋ˧˨tin˦˥
đỉnh đình đinh	din˨˩˦din˧˨din˧˧
tiền dạng	tiəŋ˧˨jaŋ˨˩˨
chỉ một đàng đi một nẻo	ci˨˩˦mok͡p˨˩˨daŋ˧˨di˧˧mok͡p˨˩˨neo˨˩˦
ẹ ẹ	ɛ˨˩˨ɛ˨˩˨
tiền triều	tiəŋ˧˨ʈiəw˧˨
cay nghiệt	kăj˧˧ŋiək˨˩˨
yêu kiều	iəw˧˧kiəw˧˨
chết trong còn hơn sống đục	cet˦˥ʈɔŋ͡m˧˧kɔŋ͡m˧˨hɤŋ˧˧ʂoŋ͡m˦˥duk͡p˨˩˨
tha giác	tʰa˧˧jak˦˥
lảy bảy	lăj˨˩˦băj˨˩˦
biệt tự	biək˨˩˨tɯ˨˩˨
sạch như lau	ʂat˨˩˨ɲɯ˧˧lăw˧˧
cố bương	ko˦˥bɯəŋ˧˧
cầm nguyệt	kɤ̆m˧˨ŋwiək˨˩˨
thượng hạng	tʰɯəŋ˨˩˨haŋ˨˩˨
nhân mệnh chí trọng	ɲɤ̆ŋ˧˧men˨˩˨ci˦˥ʈɔŋ͡m˨˩˨
bầm gan tím ruột	bɤ̆m˧˨ɣaŋ˧˧tim˦˥ʐuək˨˩˨
tiểu bài	tiəw˨˩˦baj˧˨
lia lịa	liə˧˧liə˨˩˨
tốt mối	tok͡p˦˥moj˦˥
yên khánh	iɛŋ˧˧xan˦˥
dịu hiền	jiw˨˩˨hiəŋ˧˨
khống cáo	xoŋ͡m˦˥kaw˦˥
bình thì	bin˧˨tʰi˧˨
teo da	teo˧˧ja˧˧
sinh lí	ʂin˧˧li˦˥
then máy	tʰɛŋ˧˧măj˦˥
xuân khê	swɤ̆ŋ˧˧xe˧˧
phục chế	fuk͡p˨˩˨ce˦˥
ngoạp	ŋwap˨˩˨
vạn mỹ	jaŋ˨˩˨mi˨˩˦
chấp nhặt	cɤ̆p˦˥ɲăk˨˩˨
man-tô-da	maŋ˧˧-to˧˧-ja˧˧
giản chính	jaŋ˨˩˦cin˦˥
chắp	căp˦˥
sềnh sệch	ʂen˧˨ʂet˨˩˨
suy mòn	ʂwi˧˧mɔŋ͡m˧˨
xi ta	si˧˧ta˧˧
ma-gie	ma˧˧-jɛ˧˧
sở cầu	ʂɤ˨˩˦kɤ̆w˧˨
xiên xọ	siəŋ˧˧sɔ˨˩˨
lấm như vùi	lɤ̆m˦˥ɲɯ˧˧juj˧˨
cung quế	kuŋ͡m˧˧we˦˥
ngày một ngày hai	ŋăj˧˨mok͡p˨˩˨ŋăj˧˨haj˧˧
tỏng	tɔŋ͡m˨˩˦
hoà	hwa˧˨
nguyên liệu	ŋwiəŋ˧˧liəw˨˩˨
tình thâm	tin˧˨tʰɤ̆m˧˧
quyển lửa	wiɛŋ˨˩˦lɯə˨˩˦
đầu ráo áo ướt	dɤ̆w˧˨ʐaw˦˥aw˦˥ɯək˦˥
te cựa	tɛ˧˧kɯə˨˩˨
căn cỗi	kăŋ˧˧koj˨˩˦
cự đại	kɯ˨˩˨daj˨˩˨
gai xương	ɣaj˧˧sɯəŋ˧˧
úm	um˦˥
ăn sống	ăŋ˧˧ʂoŋ͡m˦˥
veo veo	jeo˧˧jeo˧˧
hôm rày hôm mai	hom˧˧ʐăj˧˨hom˧˧maj˧˧
cảm ứng	kam˨˩˦ɯŋ˦˥
chòng vòng	cɔŋ͡m˧˨jɔŋ͡m˧˨
nói ngông	nɔj˦˥ŋoŋ͡m˧˧
nhuế dương	ɲwe˦˥jɯəŋ˧˧
nhẹn	ɲɛŋ˨˩˨
thạnh xuân	tʰan˨˩˨swɤ̆ŋ˧˧
nghĩ quẩn	ŋi˨˩˦wɤ̆ŋ˨˩˦
quan liêu	waŋ˧˧liəw˧˧
thời nghi	tʰɤj˧˨ŋi˧˧
vĩnh xương	jin˨˩˦sɯəŋ˧˧
tại nhà	taj˨˩˨ɲa˧˨
chệch choạc	cet˨˩˨cwak˨˩˨
đỗ đen	do˨˩˦dɛŋ˧˧
phân ủ	fɤ̆ŋ˧˧u˨˩˦
lim vàng	lim˧˧jaŋ˧˨
tiu nghỉu	tiw˧˧ŋiw˨˩˦
bao cao su	baw˧˧kaw˧˧ʂu˧˧
tòe	twe˧˨
ra hồn	ʐa˧˧hoŋ͡m˧˨
đái tháo đường	daj˦˥tʰaw˦˥dɯəŋ˧˨
cao độ	kaw˧˧do˨˩˨
điều hoà không khí	diəw˧˨hwa˧˨xoŋ͡m˧˧xi˦˥
phân tính học	fɤ̆ŋ˧˧tin˦˥hɔk͡p˨˩˨
chỉnh lý	cin˨˩˦li˦˥
chân tài	cɤ̆ŋ˧˧taj˧˨
đỗ ván	do˨˩˦jaŋ˦˥
vĩnh lương	jin˨˩˦lɯəŋ˧˧
cực quyền	kɯk˨˩˨wiɛŋ˧˨
cầm lòng chẳng đậu	kɤ̆m˧˨lɔŋ͡m˧˨căŋ˨˩˦dɤ̆w˨˩˨
sở chỉ huy	ʂɤ˨˩˦ci˨˩˦hwi˧˧
vượt qua	jɯək˨˩˨wa˧˧
quan văn	waŋ˧˧jăŋ˧˧
tuyệt cú	twiək˨˩˨ku˦˥
tới lui	tɤj˦˥luj˧˧
ma hờn quỷ ám	ma˧˧hɤŋ˧˨wi˨˩˦am˦˥
hứa quốc	hɯə˦˥wok͡p˦˥
boong-ke	bɔŋ͡m˧˧-kɛ˧˧
lúa	luə˦˥
vàng da	jaŋ˧˨ja˧˧
cựu thế giới	kɯw˨˩˨tʰe˦˥jɤj˦˥
xuân đông	swɤ̆ŋ˧˧doŋ͡m˧˧
lính tuần	lin˦˥twɤ̆ŋ˧˨
pháo cối	faw˦˥koj˦˥
sơn hùng	ʂɤŋ˧˧huŋ͡m˧˨
bông gòn	boŋ͡m˧˧ɣɔŋ͡m˧˨
bù đi bớt lại	bu˧˨di˧˧bɤk˦˥laj˨˩˨
thời trân	tʰɤj˧˨ʈɤ̆ŋ˧˧
văn bằng	jăŋ˧˧băŋ˧˨
trừng trộ	ʈɯŋ˧˨ʈo˨˩˨
truy nguyên	ʈwi˧˧ŋwiəŋ˧˧
mặt như đổ chàm	măk˨˩˨ɲɯ˧˧do˨˩˦cam˧˨
điêu	diəw˧˧
quếch quác	wet˦˥wak˦˥
hê-ma-tít	he˧˧-ma˧˧-tit˦˥
địa hình địa vật	diə˨˩˨hin˧˨diə˨˩˨jɤ̆k˨˩˨
trí lễ	ʈi˦˥le˨˩˦
yết	iɛt˦˥
thằng bé	tʰăŋ˧˨bɛ˦˥
áo ti-cô	aw˦˥ti˧˧-ko˧˧
hư truyền	hɯ˧˧ʈwiəŋ˧˨
hoa thương	hwa˧˧tʰɯəŋ˧˧
gài bẫy	ɣaj˧˨bɤ̆j˨˩˦
câu sấm	kɤ̆w˧˧ʂɤ̆m˦˥
bà bô	ba˧˨bo˧˧
trở chứng	ʈɤ˨˩˦cɯŋ˦˥
tuyệt diệt	twiək˨˩˨jiək˨˩˨
say mèm	ʂăj˧˧mɛm˧˨
ăn ốc nói mò	ăŋ˧˧ok͡p˦˥nɔj˦˥mɔ˧˨
khắc xương ghi dạ	xăk˦˥sɯəŋ˧˧ɣi˧˧ja˨˩˨
tân tạo	tɤ̆ŋ˧˧taw˨˩˨
xoay như chong chóng	swăj˧˧ɲɯ˧˧cɔŋ͡m˧˧cɔŋ͡m˦˥
danh chính ngôn thuận	jan˧˧cin˦˥ŋoŋ͡m˧˧tʰwɤ̆ŋ˨˩˨
sốt sắng	ʂok͡p˦˥ʂăŋ˦˥
dây sống	jɤ̆j˧˧ʂoŋ͡m˦˥
chuếch choáng	cwet˦˥cwaŋ˦˥
chú giải	cu˦˥jaj˨˩˦
dở tay	jɤ˨˩˦tăj˧˧
xín mần	sin˦˥mɤ̆ŋ˧˨
hô cách	ho˧˧kat˦˥
nhoáng nhoàng	ɲwaŋ˦˥ɲwaŋ˧˨
an trung	aŋ˧˧ʈuŋ͡m˧˧
kết mạc	ket˦˥mak˨˩˨
sư nữ	ʂɯ˧˧nɯ˨˩˦
tỏa nhiệt (hóa)	twa˨˩˦ɲiək˨˩˨hwa˦˥
vạn long	jaŋ˨˩˨lɔŋ͡m˧˧
e	ɛ˧˧
ra tay tế độ	ʐa˧˧tăj˧˧te˦˥do˨˩˨
ống khói	oŋ͡m˦˥xɔj˦˥
đặc quyền	dăk˨˩˨wiɛŋ˧˨
thuần trở	tʰwɤ̆ŋ˧˨ʈɤ˨˩˦
nguyên tử lực	ŋwiəŋ˧˧tɯ˨˩˦lɯk˨˩˨
vương sư bá	jɯəŋ˧˧ʂɯ˧˧ba˦˥
giục giặc	juk͡p˨˩˨jăk˨˩˨
liên chi ủy	liəŋ˧˧ci˧˧uj˨˩˦
trôi dạt	ʈoj˧˧jat˨˩˨
chiềng sinh	ciəŋ˧˨ʂin˧˧
kẻo rồi	keo˨˩˦ʐoj˧˨
lún phún	luŋ͡m˦˥fuŋ͡m˦˥
mặt giời	măk˨˩˨jɤj˧˨
răng hàm	ʐăŋ˧˧ham˧˨
khai quốc	xaj˧˧wok͡p˦˥
ta-lông	ta˧˧-loŋ͡m˧˧
kính đeo mắt	kin˦˥deo˧˧măk˦˥
tôn vinh	toŋ͡m˧˧jin˧˧
giấc mơ	jɤ̆k˦˥mɤ˧˧
con nụ	kɔŋ͡m˧˧nu˨˩˨
ma tuý	ma˧˧twi˦˥
cảnh binh	kan˨˩˦bin˧˧
xuân bảo	swɤ̆ŋ˧˧baw˨˩˦
hiền thần	hiəŋ˧˨tʰɤ̆ŋ˧˨
nâu nâu	nɤ̆w˧˧nɤ̆w˧˧
phó tổng	fɔ˦˥toŋ͡m˨˩˦
như chó cắn ma	ɲɯ˧˧cɔ˦˥kăŋ˦˥ma˧˧
liên khu	liəŋ˧˧xu˧˧
cấp kì	kɤ̆p˦˥ki˧˨
nghỉ ốm	ŋi˨˩˦om˦˥
chưa biết trở đầu đũa	cɯə˧˧biək˦˥ʈɤ˨˩˦dɤ̆w˧˨duə˨˩˦
hải ly	haj˨˩˦li˧˧
mỏng manh	mɔŋ͡m˨˩˦man˧˧
tơi tả	tɤj˧˧ta˨˩˦
quần chùng áo dài	wɤ̆ŋ˧˨cuŋ͡m˧˨aw˦˥jaj˧˨
tuyệt chiêu	twiək˨˩˨ciəw˧˧
bạch xỉ	bat˨˩˨si˨˩˦
đằng tiến	dăŋ˧˨tiəŋ˦˥
rượu ngang	ʐɯəw˨˩˨ŋaŋ˧˧
vá trời lấp biển	ja˦˥ʈɤj˧˨lɤ̆p˦˥biəŋ˨˩˦
cưỡi đầu voi dữ	kɯəj˨˩˦dɤ̆w˧˨jɔj˧˧jɯ˨˩˦
nhà tù	ɲa˧˨tu˧˨
hạ sĩ	ha˨˩˨ʂi˨˩˦
kinh	kin˧˧
gạn	ɣaŋ˨˩˨
phận hèn	fɤ̆ŋ˨˩˨hɛŋ˧˨
hấp cách thuỷ	hɤ̆p˦˥kat˦˥tʰwi˨˩˦
cứu binh	kɯw˦˥bin˧˧
ịn	in˨˩˨
hoa xuân xanh	hwa˧˧swɤ̆ŋ˧˧san˧˧
bán kim loại	baŋ˦˥kim˧˧lwaj˨˩˨
xỏ xiên	sɔ˨˩˦siəŋ˧˧
anh hào	an˧˧haw˧˨
quy tập	wi˧˧tɤ̆p˨˩˨
phương giải	fɯəŋ˧˧jaj˨˩˦
ba ngạc	ba˧˧ŋak˨˩˨
canh tàn	kan˧˧taŋ˧˨
giấc xuân	jɤ̆k˦˥swɤ̆ŋ˧˧
sân quần vợt	ʂɤ̆ŋ˧˧wɤ̆ŋ˧˨jɤk˨˩˨
kì thủy	ki˧˨tʰuj˨˩˦
da trắng	ja˧˧ʈăŋ˦˥
áo bò	aw˦˥bɔ˧˨
giáo phận	jaw˦˥fɤ̆ŋ˨˩˨
mòng mọng	mɔŋ͡m˧˨mɔŋ͡m˨˩˨
sổ tiết kiệm	ʂo˨˩˦tiək˦˥kim˨˩˨
phẫn đèn	fɤ̆ŋ˨˩˦dɛŋ˧˨
trăm cay ngàn đắng	ʈăm˧˧kăj˧˧ŋaŋ˧˨dăŋ˦˥
năng khiếu	năŋ˧˧xiəw˦˥
đạt	dat˨˩˨
nhện nâu	ɲen˨˩˨nɤ̆w˧˧
trợn	ʈɤŋ˨˩˨
cao răm	kaw˧˧ʐăm˧˧
kèn bóp	kɛŋ˧˨bɔp˦˥
nhật kế	ɲɤ̆k˨˩˨ke˦˥
hiệp nữ	hip˨˩˨nɯ˨˩˦
ngõ hầu	ŋɔ˨˩˦hɤ̆w˧˨
vay chày vay cối	jăj˧˧căj˧˨jăj˧˧koj˦˥
gầy rộc	ɣɤ̆j˧˨ʐok͡p˨˩˨
đốt pháo	dok͡p˦˥faw˦˥
cõng	kɔŋ͡m˨˩˦
mấy	mɤ̆j˦˥
viết	jiək˦˥
bách hí	bat˦˥hi˦˥
phân chất	fɤ̆ŋ˧˧cɤ̆k˦˥
nêu gương	nɛu˧˧ɣɯəŋ˧˧
rậm rật	ʐɤ̆m˨˩˨ʐɤ̆k˨˩˨
