тата	tˈata
çитеççĕ	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈɪ t jˈɛ (͡e͡n)sˌiːsədˈɪlɐ sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v)
çитсен	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈɪ t s jˈæ n
çӳллĕшĕнче	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈø l l (͡e͡n)ˌiːbɹˈiːv(͡c͡v) ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n t͡ʃ jˈɛ
ăста	(͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) s t ˈa
Атлантика	ˌatlantˈika
В	v
Васильев	vasˈɪlʲɛv
Георгий	ɡɛˈɔrɡɪj
Иçĕм	ˈɪ (͡e͡n)sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v) m
Ивановна	ˌivanˈɔvna
Иран	ˈiɾan
Ирина	iɾˈina
Кĕçех	k (͡e͡n)ˌiːbɹˈiːv sˌiːsədˈɪlɐ(͡c͡v) jˈɛ x
Красноармейски	krˌasnoarmˈɛjskɪ
Ли	lˈɪ
Малалла	malˈalla
Марк	mˈark
Паттăрĕ	p ˈa t t (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) r (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
Районăн	r ˈa j ˈɔ n (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n
Республика	rˌɛspʊblˈika
Театр	tˈɛatr
Францире	frant͡sˈiɾɛ
Фёдор	fjˈodɔr
Чăвашла	t͡ʃ (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) v ˈa ʃ l ˈa
Юханшывăн	jˈʊ x ˈa n ʃ ˈɯ v (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n
Ялти	jˈaltɪ
администраци	ˌadminɪstrˈat͡sɪ
анлăн	ˈa n l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n
ачи	ˈat͡ʃɪ
вĕçен	v (͡e͡n)ˌiːbɹˈiːv sˌiːsədˈɪlɐ(͡c͡v) jˈæ n
влаçне	v l ˈa (͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) n jˈɛ
доцент	dˈot͡sɛnt
европа	jɛvrˈopa
завочĕ	z ˈa v ˈɔ t͡ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
изотоп	izˈotɔp
институтне	ˌɪnstitˈʊtnɛ
ирттерме	ɪrttˈɛrmɛ
йывăрăшĕ	j ˈɯ v (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) r (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
йышăнса	j ˈɯ ʃ (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n s ˈa
кăмăлланă	k (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) m (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) l l ˈa n (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
кĕрешме	k (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r jˈɛ ʃ m jˈɛ
кĕртет	k (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r t jˈɛ t
кайни	kˈajnɪ
каланипе	kˌalanˈipɛ
керменĕ	k jˈɛ r m jˈæ n (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
килĕшӳллĕ	k ˈɪ l (͡e͡n)ˌiːbɹˈiːv(͡c͡v) ʃ ˈø l l (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
куна	kˈuna
материал	mˌatɛɾˈial
никĕсĕпе	n ˈɪ k (͡e͡n)ˌiːbɹˈiːv(͡c͡v) s (͡e͡n)ˌiːbɹˈiːv(͡c͡v) p jˈɛ
опера	opˈɛɾa
пĕрлĕхне	p (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r l (͡e͡n)ˌiːbɹˈiːv(͡c͡v) x n jˈɛ
пĕтĕмпе	p (͡e͡n)ˌiːbɹˈiːv(͡c͡v) t (͡e͡n)ˌiːbɹˈiːv(͡c͡v) m p jˈɛ
пĕчĕкрех	p (͡e͡n)ˌiːbɹˈiːv(͡c͡v) t͡ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v) k r jˈɛ x
паллашать	pallˈaʃat
паман	pˈaman
паттăр	p ˈa t t (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) r
пахалăхĕ	p ˈa x ˈa l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) x (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
пикеннĕ	p ˈɪ k jˈæ n n (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
пит	pˈɪt
провинци	provˈɪnt͡sɪ
пултаруллă	p ˈʊ l t ˈa r ˈʊ l l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
пусса	pˈʊssa
райцентра	rajt͡sˈɛntra
революцийĕ	r jˈɛ v ˈɔ l jˈʊ t͡s ˈɪ j (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
республикин	rˌɛspʊblˈikɪn
сăвăç	s (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) v (͡e͡n)ˌe͡ɪbɹˈiːv sˌiːsədˈɪlɐ(͡c͡v)
сĕм	s (͡e͡n)ˌiːbɹˈiːv(͡c͡v) m
сĕмĕ	s (͡e͡n)ˌiːbɹˈiːv(͡c͡v) m (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
саралнă	s ˈa r ˈa l n (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
тăм	t (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) m
тĕне	t (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n jˈɛ
тĕнчерен	t (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n t͡ʃ jˈɛ r jˈæ n
тĕплĕ	t (͡e͡n)ˌiːbɹˈiːv(͡c͡v) p l (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
тĕпчет	t (͡e͡n)ˌiːbɹˈiːv(͡c͡v) p t͡ʃ jˈɛ t
танксене	tanksˈɛnɛ
тв	tv
театрĕн	t jˈɛ ˈa t r (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n
театрĕнче	t jˈɛ ˈa t r (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n t͡ʃ jˈɛ
тин	tˈɪn
уйăрма	ˈʊ j (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) r m ˈa
умне	ˈʊmnɛ
физика	fizˈika
хĕвеланăçнелле	x (͡e͡n)ˌiːbɹˈiːv(͡c͡v) v jˈæ l ˈa n (͡e͡n)ˌe͡ɪbɹˈiːv sˌiːsədˈɪlɐ(͡c͡v) n jˈæ l l jˈɛ
хĕвелтухăç	x (͡e͡n)ˌiːbɹˈiːv(͡c͡v) v jˈæ l t ˈʊ x (͡e͡n)ˌe͡ɪbɹˈiːv sˌiːsədˈɪlɐ(͡c͡v)
хан	xˈan
хатĕрлеççĕ	x ˈa t (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r l jˈɛ (͡e͡n)sˌiːsədˈɪlɐ sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v)
хресчен	xrˈɛst͡ʃɛn
хутăш	x ˈʊ t (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) ʃ
чапа	t͡ʃˈapa
шутпа	ʃˈʊtpa
ывăл	ˈɯ v (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) l
этеплĕх	ˈɛ t jˈɛ p l (͡e͡n)ˌiːbɹˈiːv(͡c͡v) x
юпписем	jʊppˈisɛm
ялĕнчи	jˈa l (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n t͡ʃ ˈɪ
XVI	(͡e͡n)ˈɛks vˈiː ˈa͡ɪ(͡c͡v)
çĕрĕсенче	(͡e͡n)sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v) r (͡e͡n)ˌiːbɹˈiːv(͡c͡v) s jˈæ n t͡ʃ jˈɛ
çĕртре	(͡e͡n)sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v) r t r jˈɛ
çĕршыва	(͡e͡n)sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v) r ʃ ˈɯ v ˈa
çамрăксен	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈa m r (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) k s jˈæ n
çанталăк	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈa n t ˈa l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) k
çутта	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈʊ t t ˈa
çухалнă	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈʊ x ˈa l n (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
ăсти	(͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) s t ˈɪ
ĕçлесе	(͡e͡n)ˌiːbɹˈiːv sˌiːsədˈɪlɐ(͡c͡v) l jˈɛ s jˈɛ
ĕçтешĕ	(͡e͡n)ˌiːbɹˈiːv sˌiːsədˈɪlɐ(͡c͡v) t jˈɛ ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
Азире	azˈiɾɛ
Андреевич	ˌandrɛˈɛvɪt͡ʃ
Ватă	v ˈa t (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
Золотов	zolˈotɔv
Израиль	ɪzrˈaɪl
Красноярск	krasnˈojarsk
Литва	lˈɪtva
Маларах	malˈaɾax
Николаевна	nˌikolaˈɛvna
Нимĕç	n ˈɪ m (͡e͡n)ˌiːbɹˈiːv sˌiːsədˈɪlɐ(͡c͡v)
Пĕтĕмĕшле	p (͡e͡n)ˌiːbɹˈiːv(͡c͡v) t (͡e͡n)ˌiːbɹˈiːv(͡c͡v) m (͡e͡n)ˌiːbɹˈiːv(͡c͡v) ʃ l jˈɛ
Патăрьел	p ˈa t (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) r jˈæ l
Питĕ	p ˈɪ t (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
Польша	pˈɔlʃa
Таса	tˈasa
Унпа	ˈʊnpa
Федераци	fˌɛdɛɾˈat͡sɪ
Филипп	fˈilɪpp
Хĕвелтухăç	x (͡e͡n)ˌiːbɹˈiːv(͡c͡v) v jˈæ l t ˈʊ x (͡e͡n)ˌe͡ɪbɹˈiːv sˌiːsədˈɪlɐ(͡c͡v)
Хулана	xulˈana
Чăвашсем	t͡ʃ (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) v ˈa ʃ s jˈæ m
Шкулта	ʃkˈʊlta
Ялав	jˈalav
авăнăн	ˈa v (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n
айăпласа	ˈa j (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) p l ˈa s ˈa
аллинче	allˈɪnt͡ʃɛ
анăçалла	ˈa n (͡e͡n)ˌe͡ɪbɹˈiːv sˌiːsədˈɪlɐ(͡c͡v) ˈa l l ˈa
аталанма	ˌatalˈanma
аякри	ajˈakrɪ
вăйĕсем	v (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) j (͡e͡n)ˌiːbɹˈiːv(͡c͡v) s jˈæ m
вăрçа	v (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) r (͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈa
вăхăтĕнчи	v (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) x (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) t (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n t͡ʃ ˈɪ
виçи	v ˈɪ (͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈɪ
вырăссен	v ˈɯ r (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) s s jˈæ n
департаменчӗн	dˌɛpartamˈɛnt͡ʃɵn
илнӗ	ˈɪlnɵ
кăтартса	k (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) t ˈa r t s ˈa
каçма	k ˈa (͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) m ˈa
каçнă	k ˈa (͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) n (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
калаçать	k ˈa l ˈa (͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈa t
кану	kˈanʊ
карапсем	kaɾˈapsɛm
кафедрин	kafˈɛdrɪn
килĕшнĕ	k ˈɪ l (͡e͡n)ˌiːbɹˈiːv(͡c͡v) ʃ n (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
килти	kˈɪltɪ
компани	kɔmpˈanɪ
компьютер	kɔmpjˈutɛr
ларса	lˈarsa
малашне	malˈaʃnɛ
номерĕ	n ˈɔ m jˈɛ r (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
округĕне	ˈɔ k r ˈʊ ɡ (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n jˈɛ
пăлхава	p (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) l x ˈa v ˈa
пăр	p (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) r
пăрахса	p (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) r ˈa x s ˈa
пĕрлехи	p (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r l jˈɛ x ˈɪ
пайĕсем	p ˈa j (͡e͡n)ˌiːbɹˈiːv(͡c͡v) s jˈæ m
палăртса	p ˈa l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) r t s ˈa
пиччĕшĕ	p ˈɪ t͡ʃ t͡ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v) ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
пулăшаканĕ	p ˈʊ l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) ʃ ˈa k ˈa n (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
пулăшма	p ˈʊ l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) ʃ m ˈa
пурри	pˈʊrrɪ
пусма	pˈʊsma
пуснă	p ˈʊ s n (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
пуххи	pˈʊxxɪ
пылак	pˈɯlak
пӗри	pˈɵɾɪ
радиохастар	rˌadioxˈastar
районта	rajˈɔnta
революци	rˌɛvɔljˈut͡sɪ
сачĕ	s ˈa t͡ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
сиен	sˈiɛn
станцине	stant͡sˈinɛ
тăшмана	t (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) ʃ m ˈa n ˈa
тĕнĕ	t (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
тĕпчеме	t (͡e͡n)ˌiːbɹˈiːv(͡c͡v) p t͡ʃ jˈæ m jˈɛ
таврашĕнчи	t ˈa v r ˈa ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n t͡ʃ ˈɪ
термин	tˈɛrmɪn
тусем	tˈusɛm
уншăн	ˈʊ n ʃ (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n
усал	ˈusal
ушкăна	ˈʊ ʃ k (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n ˈa
философи	fˌilosˈofɪ
хăпарать	x (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) p ˈa r ˈa t
халăхĕсен	x ˈa l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) x (͡e͡n)ˌiːbɹˈiːv(͡c͡v) s jˈæ n
хатĕрлесе	x ˈa t (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r l jˈɛ s jˈɛ
хума	xˈuma
хӳтĕлев	x ˈø t (͡e͡n)ˌiːbɹˈiːv(͡c͡v) l jˈɛ v
шупка	ʃˈʊpka
шутĕнчи	ʃ ˈʊ t (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n t͡ʃ ˈɪ
ыйтать	ˈɯjtat
юппийĕсем	jˈʊ p p ˈɪ j (͡e͡n)ˌiːbɹˈiːv(͡c͡v) s jˈæ m
юрри	jˈʊrrɪ
япаласене	jˌapalasˈɛnɛ
ятлӑ	jˈatlɯ
ятсăр	jˈa t s (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) r
Çӳлти	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈø l t ˈɪ
çĕмĕрсе	(͡e͡n)sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v) m (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r s jˈɛ
çавăрса	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈa v (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) r s ˈa
çинçе	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈɪ n (͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) jˈɛ
çулăн	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈʊ l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n
çулла	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈʊ l l ˈa
çулсенчи	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈʊ l s jˈæ n t͡ʃ ˈɪ
çурăм	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈʊ r (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) m
çыннисене	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈɯ n n ˈɪ s jˈæ n jˈɛ
ăнлантарса	(͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n l ˈa n t ˈa r s ˈa
ĕçпе	(͡e͡n)ˌiːbɹˈiːv sˌiːsədˈɪlɐ(͡c͡v) p jˈɛ
ĕлĕк	(͡e͡n)ˌiːbɹˈiːv(͡c͡v) l (͡e͡n)ˌiːbɹˈiːv(͡c͡v) k
ĕлĕххи	(͡e͡n)ˌiːbɹˈiːv(͡c͡v) l (͡e͡n)ˌiːbɹˈiːv(͡c͡v) x x ˈɪ
Бердь	bˈɛrd
Венгри	vˈɛnɡrɪ
Википедийĕ	v ˈɪ k ˈɪ p jˈɛ d ˈɪ j (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
Император	ˌɪmpɛɾˈatɔr
Исланди	ɪslˈandɪ
Калинин	kalˈinɪn
Киев	kˈiɛv
Ленинградри	lˌɛnɪnɡrˈadrɪ
Мускава	mʊskˈava
Петĕр	p jˈɛ t (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r
Петров	pˈɛtrɔv
ССКП	sskp
Сергеевич	sˌɛrɡɛˈɛvɪt͡ʃ
Таяпа	tajˈapa
Тепĕртакран	t jˈɛ p (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r t ˈa k r ˈa n
Ту	tˈʊ
Урăх	ˈʊ r (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) x
Федерацийĕн	f jˈɛ d jˈɛ r ˈa t͡s ˈɪ j (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n
Хисеп	xˈisɛp
Чăвашсен	t͡ʃ (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) v ˈa ʃ s jˈæ n
ЧР	t͡ʃr
Эпĕ	ˈɛ p (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
авиацин	ˌaviˈat͡sɪn
автоматчиксен	ˌavtomatt͡ʃˈɪksɛn
автономи	ˌavtonˈomɪ
апла	ˈapla
асăнса	ˈa s (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n s ˈa
ачисем	at͡ʃˈisɛm
аялти	ajˈaltɪ
вăйне	v (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) j n jˈɛ
виçеллĕ	v ˈɪ (͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) jˈæ l l (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
вилтăпри	v ˈɪ l t (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) p r ˈɪ
влаç	v l ˈa (͡e͡n)sˌiːsədˈɪlɐ(͡c͡v)
вулама	vulˈama
выляма	vɯljˈama
вӗсен	vˈɵsɛn
вӗсене	vɵsˈɛnɛ
енлĕ	jˈæ n l (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
иккĕшĕ	ˈɪ k k (͡e͡n)ˌiːbɹˈiːv(͡c͡v) ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
институчĕнче	ˈɪ n s t ˈɪ t ˈʊ t͡ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n t͡ʃ jˈɛ
кăмăллă	k (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) m (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) l l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
кăнтăрта	k (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n t (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) r t ˈa
кĕнекине	k (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n jˈɛ k ˈɪ n jˈɛ
кĕпер	k (͡e͡n)ˌiːbɹˈiːv(͡c͡v) p jˈɛ r
кĕрешнĕ	k (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r jˈɛ ʃ n (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
кая	kˈaja
космос	kˈɔsmɔs
куç	k ˈʊ (͡e͡n)sˌiːsədˈɪlɐ(͡c͡v)
куçарса	k ˈʊ (͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈa r s ˈa
лартса	lˈartsa
малта	mˈalta
меллĕ	m jˈæ l l (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
никĕсĕ	n ˈɪ k (͡e͡n)ˌiːbɹˈiːv(͡c͡v) s (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
никĕсленнĕ	n ˈɪ k (͡e͡n)ˌiːbɹˈiːv(͡c͡v) s l jˈæ n n (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
никĕсне	n ˈɪ k (͡e͡n)ˌiːbɹˈiːv(͡c͡v) s n jˈɛ
океанăн	ˈɔ k jˈɛ ˈa n (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n
пăлхарсем	p (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) l x ˈa r s jˈæ m
пăхмасăр	p (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) x m ˈa s (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) r
пĕçернĕ	p (͡e͡n)ˌiːbɹˈiːv sˌiːsədˈɪlɐ(͡c͡v) jˈɛ r n (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
пĕрлех	p (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r l jˈɛ x
пайĕн	p ˈa j (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n
палăрса	p ˈa l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) r s ˈa
пичет	pˈit͡ʃɛt
правительстви	prˌavitˈɛlstvɪ
пуçтарăннă	p ˈʊ (͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) t ˈa r (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n n (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
пуçтарса	p ˈʊ (͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) t ˈa r s ˈa
пултăр	p ˈʊ l t (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) r
пултарулăхĕ	p ˈʊ l t ˈa r ˈʊ l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) x (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
пырĕ	p ˈɯ r (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
пӳрт	pˈørt
ротин	rˈotɪn
сăвăсем	s (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) v (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) s jˈæ m
сарăлса	s ˈa r (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) l s ˈa
славян	slˈavjan
суя	sˈuja
сыхласа	sɯxlˈasa
тĕллевĕ	t (͡e͡n)ˌiːbɹˈiːv(͡c͡v) l l jˈɛ v (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
тĕсĕсем	t (͡e͡n)ˌiːbɹˈiːv(͡c͡v) s (͡e͡n)ˌiːbɹˈiːv(͡c͡v) s jˈæ m
тарăнăшĕ	t ˈa r (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
тутарла	tutˈarla
уйрăмĕн	ˈʊ j r (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) m (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n
уйрăмне	ˈʊ j r (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) m n jˈɛ
улшăнса	ˈʊ l ʃ (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n s ˈa
усравĕ	ˈʊ s r ˈa v (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
фильмра	fˈɪlmra
хĕвеланăç	x (͡e͡n)ˌiːbɹˈiːv(͡c͡v) v jˈæ l ˈa n (͡e͡n)ˌe͡ɪbɹˈiːv sˌiːsədˈɪlɐ(͡c͡v)
хĕрача	x (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r ˈa t͡ʃ ˈa
хаçачĕн	x ˈa (͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈa t͡ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n
халăхсем	x ˈa l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) x s jˈæ m
халь	xˈal
хулан	xˈulan
хулари	xulˈaɾɪ
хупă	x ˈʊ p (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
хушнипе	xʊʃnˈipɛ
хыççăнхи	x ˈɯ (͡e͡n)sˌiːsədˈɪlɐ sˌiːsədˈɪlɐ ˌe͡ɪbɹˈiːv(͡c͡v) n x ˈɪ
чăннипе	t͡ʃ (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n n ˈɪ p jˈɛ
чĕлхесем	t͡ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v) l x jˈɛ s jˈæ m
чĕлхесен	t͡ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v) l x jˈɛ s jˈæ n
чĕнсе	t͡ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n s jˈɛ
чĕр	t͡ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r
шкулĕн	ʃ k ˈʊ l (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n
юррисене	jˌʊrrisˈɛnɛ
юханшывĕсем	jˈʊ x ˈa n ʃ ˈɯ v (͡e͡n)ˌiːbɹˈiːv(͡c͡v) s jˈæ m
çăкăр	(͡e͡n)sˌiːsədˈɪlɐ ˌe͡ɪbɹˈiːv(͡c͡v) k (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) r
